board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,69,69,5.0,5.0,2347.0,234.0,2347.0,234.0,0
1,278,278,5.0,239.0,2340.0,242.0,2340.0,242.0,0
1,66,66,5.0,481.0,2400.0,580.0,2400.0,580.0,0
1,209,209,5.0,1061.0,2397.0,146.0,2397.0,146.0,0
1,450,450,2352.0,5.0,70.0,416.0,416.0,70.0,1
2,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
2,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
2,199,199,2358.0,817.0,75.0,383.0,383.0,75.0,1
3,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
3,95,95,5.0,591.0,2400.0,550.0,2400.0,550.0,0
3,374,374,5.0,1141.0,2054.0,70.0,2054.0,70.0,0
3,223,223,2335.0,5.0,70.0,564.0,564.0,70.0,1
3,315,315,2059.0,1141.0,299.0,70.0,299.0,70.0,0
4,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
4,4,4,5.0,549.0,2405.0,554.0,2405.0,554.0,0
4,469,469,5.0,1103.0,1626.0,110.0,1626.0,110.0,0
4,131,131,1631.0,1103.0,780.0,80.0,780.0,80.0,0
5,166,166,5.0,5.0,2320.0,554.0,2320.0,554.0,0
5,410,410,5.0,559.0,2350.0,544.0,2350.0,544.0,0
5,80,80,5.0,1103.0,1600.0,75.0,1600.0,75.0,0
5,179,179,2355.0,5.0,80.0,1209.5,1209.5,80.0,1
5,208,208,1605.0,1103.0,643.0,70.0,643.0,70.0,0
6,342,342,5.0,5.0,2321.0,550.0,2321.0,550.0,0
6,430,430,5.0,555.0,2360.0,536.0,2360.0,536.0,0
6,426,426,5.0,1091.0,1614.0,70.0,1614.0,70.0,0
6,180,180,2365.0,5.0,70.0,884.0,884.0,70.0,1
6,239,239,1619.0,1091.0,776.0,60.0,776.0,60.0,0
6,289,289,1619.0,1151.0,726.0,60.0,726.0,60.0,0
7,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
7,40,40,5.0,529.0,2382.0,535.0,2382.0,535.0,0
7,92,92,5.0,1064.0,1114.0,150.0,1114.0,150.0,0
7,132,132,1119.0,1064.0,900.0,100.0,900.0,100.0,0
7,375,375,2357.0,5.0,70.0,509.0,509.0,70.0,1
7,399,399,2019.0,1064.0,330.0,110.0,110.0,330.0,1
8,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
8,404,404,5.0,543.0,2352.0,530.0,2352.0,530.0,0
8,207,207,5.0,1073.0,1394.0,60.0,1394.0,60.0,0
8,219,219,5.0,1133.0,1244.0,70.0,1244.0,70.0,0
8,206,206,1399.0,1073.0,884.0,60.0,884.0,60.0,0
8,542,542,1249.0,1133.0,832.0,60.0,832.0,60.0,0
8,510,510,2357.0,5.0,60.0,777.0,777.0,60.0,1
9,185,185,5.0,5.0,2382.0,405.0,2382.0,405.0,0
9,162,162,5.0,410.0,2040.0,570.0,2040.0,570.0,0
9,89,89,5.0,980.0,2352.0,230.0,2352.0,230.0,0
9,225,225,2045.0,410.0,353.0,398.0,398.0,353.0,1
9,128,128,2357.0,808.0,75.0,383.0,383.0,75.0,1
9,109,109,2045.0,808.0,276.0,150.0,150.0,276.0,1
10,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
10,152,152,5.0,569.0,2347.0,479.0,2347.0,479.0,0
10,358,358,5.0,1048.0,2345.0,159.0,2345.0,159.0,0
10,351,351,2045.0,5.0,330.0,403.5,403.5,330.0,1
10,191,191,2375.0,5.0,60.0,1004.0,1004.0,60.0,1
10,221,221,2045.0,408.5,322.0,118.5,118.5,322.0,1
11,15,15,5.0,5.0,2220.0,474.0,2220.0,474.0,0
11,347,347,5.0,479.0,2040.0,454.0,2040.0,454.0,0
11,551,551,5.0,933.0,1864.0,280.0,1864.0,280.0,0
11,359,359,2045.0,479.0,310.7,729.5,310.7,729.5,0
11,222,222,2355.7,5.0,70.0,1089.0,1089.0,70.0,1
11,130,130,2225.0,5.0,70.0,333.0,333.0,70.0,1
12,215,215,5.0,5.0,2040.0,549.0,2040.0,549.0,0
12,76,76,5.0,554.0,2000.0,554.0,2000.0,554.0,0
12,388,388,2045.0,5.0,316.0,830.0,830.0,316.0,1
12,240,240,5.0,1108.0,1550.0,70.0,1550.0,70.0,0
12,495,495,2005.0,835.0,409.0,312.0,409.0,312.0,0
12,507,507,1555.0,1147.0,874.0,60.0,874.0,60.0,0
12,540,540,2361.0,5.0,60.0,820.0,820.0,60.0,1
13,385,385,5.0,5.0,2222.0,350.0,2222.0,350.0,0
13,26,26,5.0,355.0,2090.0,363.0,2090.0,363.0,0
13,36,36,5.0,718.0,2295.0,364.0,2295.0,364.0,0
13,416,416,2095.0,355.0,331.0,356.0,356.0,331.0,1
14,434,434,5.0,5.0,1874.0,537.0,1874.0,537.0,0
14,492,492,5.0,542.0,1849.5,549.0,1849.5,549.0,0
14,224,224,1879.0,5.0,494.0,1149.5,1149.5,494.0,1
14,397,397,5.0,1091.0,1724.0,120.0,1724.0,120.0,0
14,484,484,2373.0,5.0,60.0,1164.0,1164.0,60.0,1
14,508,508,1729.0,1154.5,564.0,60.0,564.0,60.0,0
15,176,176,5.0,5.0,2119.0,330.0,2119.0,330.0,0
15,142,142,5.0,335.0,2320.0,288.0,2320.0,288.0,0
15,254,254,5.0,623.0,2220.0,300.0,2220.0,300.0,0
15,301,301,5.0,923.0,2290.0,279.0,2290.0,279.0,0
15,220,220,2325.0,5.0,70.0,944.0,944.0,70.0,1
15,285,285,2124.0,5.0,158.0,320.0,320.0,158.0,1
16,475,475,5.0,5.0,1796.0,600.0,1796.0,600.0,0
16,330,330,5.0,605.0,2090.0,330.0,2090.0,330.0,0
16,449,449,5.0,935.0,1760.0,280.0,1760.0,280.0,0
16,116,116,2095.0,5.0,308.0,767.7,767.7,308.0,1
16,357,357,2095.0,772.7,321.0,425.0,425.0,321.0,1
16,442,442,1801.0,5.0,232.0,485.0,232.0,485.0,0
16,232,232,1765.0,935.0,320.0,191.5,191.5,320.0,1
17,74,74,5.0,5.0,2321.0,334.0,2321.0,334.0,0
17,51,51,5.0,339.0,2271.0,294.0,2271.0,294.0,0
17,70,70,5.0,633.0,2190.0,304.0,2190.0,304.0,0
17,90,90,5.0,937.0,1399.5,263.5,1399.5,263.5,0
17,64,64,1404.5,937.0,768.0,250.0,768.0,250.0,0
17,198,198,2276.0,339.0,123.5,569.5,123.5,569.5,0
17,346,346,2195.0,908.5,239.0,284.0,284.0,239.0,1
18,521,521,5.0,5.0,2355.0,327.0,2355.0,327.0,0
18,236,236,5.0,332.0,1720.0,689.0,1720.0,689.0,0
18,368,368,1725.0,332.0,543.0,880.1,880.1,543.0,1
18,155,155,5.0,1021.0,1499.0,180.0,1499.0,180.0,0
