board,uid,pid_raw,x,y,w,h,w0,h0,rotated
18,112,112,2005.0,5.0,333.0,1114.0,1114.0,333.0,1
19,60,60,5.0,5.0,2220.0,294.0,2220.0,294.0,0
19,182,182,5.0,299.0,1924.0,303.0,1924.0,303.0,0
19,251,251,5.0,602.0,1900.0,324.0,1900.0,324.0,0
19,551,551,5.0,926.0,1864.0,280.0,1864.0,280.0,0
19,295,295,1929.0,299.0,492.0,868.5,868.5,492.0,1
19,145,145,2225.0,5.0,182.0,280.0,182.0,280.0,0
20,506,506,5.0,5.0,1884.0,330.0,1884.0,330.0,0
20,434,434,5.0,335.0,1874.0,537.0,1874.0,537.0,0
20,41,41,5.0,872.0,1847.0,310.0,1847.0,310.0,0
20,154,154,1889.0,5.0,529.0,1154.0,1154.0,529.0,1
21,492,492,5.0,5.0,1849.5,549.0,1849.5,549.0,0
21,395,395,5.0,554.0,2220.0,294.0,2220.0,294.0,0
21,149,149,5.0,848.0,1807.0,291.0,1807.0,291.0,0
21,9,9,1854.5,5.0,554.0,518.0,518.0,554.0,1
21,157,157,1812.0,848.0,575.5,352.0,575.5,352.0,0
21,356,356,2225.0,523.0,175.5,319.0,175.5,319.0,0
22,475,475,5.0,5.0,1796.0,600.0,1796.0,600.0,0
22,135,135,5.0,605.0,1760.0,299.0,1760.0,299.0,0
22,449,449,5.0,904.0,1760.0,280.0,1760.0,280.0,0
22,401,401,1801.0,5.0,600.0,1150.0,600.0,1150.0,0
23,338,338,5.0,5.0,1724.0,432.0,1724.0,432.0,0
23,288,288,5.0,437.0,1724.0,361.0,1724.0,361.0,0
23,268,268,5.0,798.0,1724.0,344.0,1724.0,344.0,0
23,224,224,1729.0,5.0,494.0,1149.5,1149.5,494.0,1
23,220,220,5.0,1142.0,944.0,70.0,944.0,70.0,0
23,129,129,2223.0,5.0,60.0,953.0,953.0,60.0,1
23,206,206,2283.0,5.0,60.0,884.0,884.0,60.0,1
23,510,510,2343.0,5.0,60.0,777.0,777.0,60.0,1
23,267,267,949.0,1154.5,820.0,60.0,820.0,60.0,0
23,199,199,2343.0,782.0,75.0,383.0,383.0,75.0,1
24,236,236,5.0,5.0,1720.0,689.0,1720.0,689.0,0
24,194,194,5.0,694.0,1679.0,318.0,1679.0,318.0,0
24,72,72,1725.0,5.0,569.0,1140.0,1140.0,569.0,1
24,155,155,5.0,1012.0,1499.0,180.0,1499.0,180.0,0
24,192,192,2294.0,5.0,70.0,1044.0,1044.0,70.0,1
24,191,191,2364.0,5.0,60.0,1004.0,1004.0,60.0,1
24,180,180,1504.0,1145.0,884.0,70.0,884.0,70.0,0
25,84,84,5.0,5.0,2040.0,544.0,2040.0,544.0,0
25,362,362,5.0,549.0,1650.0,554.0,1650.0,554.0,0
25,104,104,1655.0,549.0,777.0,654.0,777.0,654.0,0
25,240,240,5.0,1103.0,1550.0,70.0,1550.0,70.0,0
25,525,525,2045.0,5.0,273.0,296.0,296.0,273.0,1
25,161,161,2045.0,301.0,350.0,232.0,232.0,350.0,1
26,350,350,5.0,5.0,1629.0,508.0,1629.0,508.0,0
26,68,68,5.0,513.0,1626.0,329.0,1626.0,329.0,0
26,552,552,5.0,842.0,1626.0,311.0,1626.0,311.0,0
26,414,414,1631.0,513.0,777.0,636.0,777.0,636.0,0
26,381,381,1634.0,5.0,731.0,484.0,484.0,731.0,1
27,133,133,5.0,5.0,2040.0,544.0,2040.0,544.0,0
27,500,500,5.0,549.0,1580.0,305.0,1580.0,305.0,0
27,156,156,5.0,854.0,1530.0,330.0,1530.0,330.0,0
27,42,42,1585.0,549.0,849.0,523.0,849.0,523.0,0
27,132,132,1535.0,1072.0,900.0,100.0,900.0,100.0,0
27,99,99,2045.0,5.0,363.0,421.0,421.0,363.0,1
27,399,399,2045.0,426.0,330.0,110.0,110.0,330.0,1
28,238,238,5.0,5.0,1563.5,917.5,1563.5,917.5,0
28,364,364,1568.5,5.0,534.0,1004.0,1004.0,534.0,1
28,85,85,5.0,922.5,1327.0,277.0,1327.0,277.0,0
28,352,352,2102.5,5.0,299.0,1149.0,1149.0,299.0,1
28,271,271,1332.0,1009.0,671.0,200.0,671.0,200.0,0
29,187,187,5.0,5.0,1796.5,424.5,1796.5,424.5,0
29,203,203,5.0,429.5,1543.0,380.0,1543.0,380.0,0
29,273,273,5.0,809.5,1524.0,303.0,1524.0,303.0,0
29,354,354,1801.5,5.0,575.0,1140.0,1140.0,575.0,1
29,442,442,1548.0,429.5,232.0,485.0,232.0,485.0,0
29,490,490,1529.0,914.5,235.0,273.0,235.0,273.0,0
30,22,22,5.0,5.0,1534.0,541.0,1534.0,541.0,0
30,345,345,5.0,546.0,1516.0,395.0,1516.0,395.0,0
30,151,151,1539.0,5.0,868.5,983.0,983.0,868.5,1
30,408,408,5.0,988.0,1565.0,200.0,1565.0,200.0,0
30,417,417,1570.0,988.0,764.0,209.0,764.0,209.0,0
31,200,200,5.0,5.0,1502.0,530.0,1502.0,530.0,0
31,146,146,5.0,535.0,2040.0,544.0,2040.0,544.0,0
31,554,554,1507.0,5.0,918.5,452.0,918.5,452.0,0
31,230,230,2045.0,457.0,303.0,413.0,413.0,303.0,1
31,45,45,2045.0,870.0,382.0,321.0,382.0,321.0,0
32,378,378,5.0,5.0,1499.5,757.5,1499.5,757.5,0
32,300,300,5.0,762.5,1468.0,300.0,1468.0,300.0,0
32,481,481,1504.5,5.0,901.5,1144.0,901.5,1144.0,0
32,207,207,5.0,1062.5,1394.0,60.0,1394.0,60.0,0
32,219,219,5.0,1122.5,1244.0,70.0,1244.0,70.0,0
32,484,484,1249.0,1149.0,1164.0,60.0,1164.0,60.0,0
33,563,563,5.0,5.0,1486.5,516.5,1486.5,516.5,0
33,477,477,5.0,521.5,1484.0,543.0,1484.0,543.0,0
33,249,249,1489.0,521.5,944.0,523.0,944.0,523.0,0
33,257,257,1491.5,5.0,932.0,450.0,932.0,450.0,0
34,82,82,5.0,5.0,1482.0,500.0,1482.0,500.0,0
34,32,32,5.0,505.0,1458.0,299.0,1458.0,299.0,0
34,24,24,5.0,804.0,1686.0,294.0,1686.0,294.0,0
34,227,227,1691.0,5.0,732.0,1190.0,1190.0,732.0,1
34,469,469,5.0,1098.0,1626.0,110.0,1626.0,110.0,0
34,511,511,1487.0,5.0,79.0,764.0,764.0,79.0,1
34,314,314,1566.0,5.0,70.0,773.0,773.0,70.0,1
35,503,503,5.0,5.0,1403.0,380.0,1403.0,380.0,0
35,304,304,5.0,385.0,1401.0,350.0,1401.0,350.0,0
35,260,260,5.0,735.0,1394.0,313.0,1394.0,313.0,0
35,164,164,1406.0,385.0,1010.0,553.0,1010.0,553.0,0
35,526,526,1408.0,5.0,982.0,367.0,982.0,367.0,0
35,332,332,1399.0,938.0,990.0,260.0,990.0,260.0,0
35,92,92,5.0,1048.0,1114.0,150.0,1114.0,150.0,0
36,431,431,5.0,5.0,1400.5,509.0,1400.5,509.0,0
36,515,515,5.0,514.0,1796.5,424.5,1796.5,424.5,0
36,56,56,1801.5,5.0,463.0,1018.0,1018.0,463.0,1
36,307,307,5.0,938.5,1334.5,213.5,1334.5,213.5,0
36,384,384,1405.5,5.0,386.0,454.0,454.0,386.0,1
36,537,537,1339.5,938.5,441.0,259.0,441.0,259.0,0
37,459,459,5.0,5.0,1389.0,307.0,1389.0,307.0,0
37,286,286,5.0,312.0,1376.0,508.0,1376.0,508.0,0
37,512,512,5.0,820.0,1355.0,327.0,1355.0,327.0,0
37,201,201,1381.0,312.0,1044.0,543.0,1044.0,543.0,0
37,479,479,1360.0,855.0,1044.0,351.0,1044.0,351.0,0
37,280,280,1394.0,5.0,1020.0,300.0,1020.0,300.0,0
37,289,289,5.0,1147.0,726.0,60.0,726.0,60.0,0
37,422,422,731.0,1147.0,315.0,60.0,315.0,60.0,0
37,181,181,1046.0,1147.0,284.0,60.0,284.0,60.0,0
38,43,43,5.0,5.0,1334.5,605.0,1334.5,605.0,0
38,514,514,5.0,610.0,1326.0,373.5,1326.0,373.5,0
38,107,107,1339.5,5.0,543.0,971.0,971.0,543.0,1
38,148,148,1882.5,5.0,548.0,944.0,944.0,548.0,1
38,106,106,5.0,983.5,2119.0,160.0,2119.0,160.0,0
38,426,426,5.0,1143.5,1614.0,70.0,1614.0,70.0,0
38,541,541,1619.0,1143.5,776.0,70.0,776.0,70.0,0
38,20,20,2124.0,949.0,300.0,182.0,182.0,300.0,1
39,377,377,5.0,5.0,1324.0,376.0,1324.0,376.0,0
39,353,353,5.0,381.0,1291.5,368.5,1291.5,368.5,0
39,11,11,5.0,749.5,1284.0,329.0,1284.0,329.0,0
39,57,57,1329.0,5.0,982.0,869.0,982.0,869.0,0
39,255,255,1289.0,874.0,1065.0,330.0,1065.0,330.0,0
39,197,197,2311.0,5.0,110.0,844.0,844.0,110.0,1
39,372,372,5.0,1078.5,758.0,110.0,758.0,110.0,0
39,178,178,763.0,1078.5,509.0,100.0,509.0,100.0,0
40,137,137,5.0,5.0,1686.0,294.0,1686.0,294.0,0
40,452,452,5.0,299.0,1275.5,844.0,1275.5,844.0,0
40,136,136,1280.5,299.0,1089.0,573.0,1089.0,573.0,0
40,448,448,1280.5,872.0,1139.0,343.0,1139.0,343.0,0
40,18,18,1691.0,5.0,743.0,280.0,743.0,280.0,0
40,375,375,5.0,1143.0,509.0,70.0,509.0,70.0,0
41,349,349,5.0,5.0,939.0,835.5,939.0,835.5,0
41,202,202,944.0,5.0,931.5,463.0,463.0,931.5,1
41,98,98,944.0,468.0,1164.0,553.0,1164.0,553.0,0
41,465,465,2108.0,5.0,323.0,1014.0,1014.0,323.0,1
41,435,435,5.0,840.5,932.0,354.0,932.0,354.0,0
41,325,325,937.0,1021.0,1143.0,175.0,175.0,1143.0,1
41,214,214,1875.5,5.0,199.0,405.0,405.0,199.0,1
41,242,242,2108.0,1019.0,326.0,162.0,162.0,326.0,1
42,282,282,5.0,5.0,888.0,553.0,888.0,553.0,0
42,368,368,893.0,5.0,880.1,543.0,880.1,543.0,0
42,474,474,1773.1,5.0,561.0,878.0,878.0,561.0,1
42,555,555,5.0,558.0,875.0,555.0,875.0,555.0,0
42,124,124,880.0,558.0,866.0,543.0,866.0,543.0,0
42,283,283,1746.0,883.0,417.0,311.0,417.0,311.0,0
42,252,252,2163.0,883.0,260.0,327.0,260.0,327.0,0
43,172,172,5.0,5.0,861.5,706.0,706.0,861.5,1
43,310,310,866.5,5.0,841.0,551.0,841.0,551.0,0
43,539,539,1707.5,5.0,553.0,832.0,832.0,553.0,1
43,6,6,866.5,556.0,827.0,563.0,827.0,563.0,0
43,336,336,5.0,711.0,827.0,484.0,827.0,484.0,0
43,348,348,1693.5,837.0,416.0,303.0,416.0,303.0,0
43,520,520,2109.5,837.0,293.0,310.7,310.7,293.0,1
43,96,96,2260.5,5.0,154.5,595.0,154.5,595.0,0
44,165,165,5.0,5.0,776.5,613.5,613.5,776.5,1
44,329,329,781.5,5.0,776.0,541.0,776.0,541.0,0
44,141,141,1557.5,5.0,685.0,771.0,685.0,771.0,0
44,143,143,781.5,546.0,762.0,660.0,762.0,660.0,0
44,322,322,5.0,618.5,700.0,560.0,700.0,560.0,0
44,28,28,1543.5,776.0,878.0,369.0,878.0,369.0,0
44,299,299,2242.5,5.0,182.0,700.0,700.0,182.0,1
45,48,48,5.0,5.0,1004.0,453.0,1004.0,453.0,0
45,497,497,5.0,458.0,1164.0,553.0,1164.0,553.0,0
45,558,558,1169.0,5.0,728.0,640.0,640.0,728.0,1
45,480,480,1169.0,645.0,953.0,548.0,953.0,548.0,0
45,505,505,2122.0,5.0,309.0,932.0,932.0,309.0,1
45,379,379,2122.0,937.0,296.0,276.0,296.0,276.0,0
45,87,87,1897.0,5.0,218.0,315.0,315.0,218.0,1
46,67,67,5.0,5.0,884.0,543.0,884.0,543.0,0
46,550,550,5.0,548.0,1004.0,453.0,1004.0,453.0,0
46,501,501,1009.0,5.0,953.0,548.0,953.0,548.0,0
46,86,86,1009.0,553.0,777.0,543.0,777.0,543.0,0
46,29,29,1962.0,5.0,427.0,932.0,932.0,427.0,1
46,306,306,1786.0,937.0,643.0,273.0,643.0,273.0,0
46,218,218,5.0,1001.0,320.0,213.5,213.5,320.0,1
47,443,443,5.0,5.0,884.0,543.0,884.0,543.0,0
47,405,405,889.0,5.0,777.0,543.0,777.0,543.0,0
47,101,101,5.0,548.0,1400.0,294.0,1400.0,294.0,0
47,382,382,5.0,842.0,1276.0,310.0,1276.0,310.0,0
47,153,153,1666.0,5.0,450.0,894.0,450.0,894.0,0
47,138,138,2116.0,5.0,318.0,926.0,926.0,318.0,1
47,556,556,1281.0,899.0,417.0,311.0,417.0,311.0,0
47,50,50,1698.0,899.0,293.0,313.5,313.5,293.0,1
47,334,334,1991.0,931.0,425.5,279.0,425.5,279.0,0
47,5,5,1405.0,548.0,255.0,328.0,255.0,328.0,0
48,316,316,5.0,5.0,1224.0,308.0,1224.0,308.0,0
48,471,471,1229.0,5.0,383.0,980.0,980.0,383.0,1
48,494,494,1612.0,5.0,405.0,932.0,932.0,405.0,1
48,168,168,2017.0,5.0,400.5,936.0,936.0,400.5,1
48,483,483,5.0,313.0,1139.0,343.0,1139.0,343.0,0
48,188,188,5.0,656.0,1033.5,322.0,1033.5,322.0,0
48,269,269,5.0,985.0,1259.0,219.0,1259.0,219.0,0
48,425,425,1264.0,985.0,673.5,178.5,673.5,178.5,0
48,285,285,1038.5,656.0,158.0,320.0,320.0,158.0,1
49,259,259,5.0,5.0,725.0,530.0,725.0,530.0,0
49,266,266,5.0,535.0,950.5,350.0,950.5,350.0,0
49,564,564,730.0,5.0,950.5,345.5,950.5,345.5,0
49,447,447,5.0,885.0,975.0,330.0,975.0,330.0,0
49,491,491,1680.5,5.0,350.0,932.0,932.0,350.0,1
49,424,424,2030.5,5.0,345.5,932.5,932.5,345.5,1
49,241,241,980.0,350.5,439.0,755.0,755.0,439.0,1
49,303,303,1419.0,937.0,602.0,258.0,602.0,258.0,0
49,545,545,1419.0,350.5,232.0,515.0,232.0,515.0,0
50,65,65,5.0,5.0,914.0,353.0,914.0,353.0,0
50,244,244,919.0,5.0,867.0,373.5,867.0,373.5,0
50,105,105,5.0,358.0,878.0,363.0,878.0,363.0,0
50,413,413,5.0,721.0,945.0,324.0,945.0,324.0,0
50,543,543,883.0,378.5,925.0,330.0,925.0,330.0,0
50,453,453,950.0,708.5,920.0,330.0,920.0,330.0,0
50,438,438,1870.0,5.0,324.0,914.0,914.0,324.0,1
50,559,559,1870.0,919.0,511.0,281.0,511.0,281.0,0
51,3,3,5.0,5.0,902.0,330.0,902.0,330.0,0
51,31,31,907.0,5.0,914.0,323.0,914.0,323.0,0
51,361,361,907.0,328.0,625.0,549.0,549.0,625.0,1
51,248,248,1532.0,328.0,900.5,319.0,900.5,319.0,0
51,327,327,1532.0,647.0,808.0,373.0,808.0,373.0,0
51,140,140,5.0,877.0,923.0,305.0,923.0,305.0,0
51,341,341,5.0,335.0,874.0,330.0,874.0,330.0,0
51,530,530,928.0,877.0,595.0,327.0,595.0,327.0,0
51,376,376,1821.0,5.0,600.0,304.0,600.0,304.0,0
51,256,256,5.0,665.0,405.0,199.0,405.0,199.0,0
51,262,262,410.0,665.0,326.0,198.0,326.0,198.0,0
52,21,21,5.0,5.0,776.0,393.0,776.0,393.0,0
52,406,406,5.0,398.0,776.0,391.0,776.0,391.0,0
52,30,30,781.0,5.0,670.0,478.0,670.0,478.0,0
52,462,462,1451.0,5.0,323.0,878.0,878.0,323.0,1
52,163,163,5.0,789.0,758.0,398.0,758.0,398.0,0
52,287,287,1774.0,5.0,353.0,823.0,823.0,353.0,1
52,400,400,763.0,883.0,868.0,323.0,868.0,323.0,0
52,456,456,2127.0,5.0,300.0,900.0,900.0,300.0,1
52,319,319,1631.0,905.0,804.0,303.0,804.0,303.0,0
52,211,211,781.0,483.0,645.0,370.0,645.0,370.0,0
52,315,315,1774.0,828.0,299.0,70.0,299.0,70.0,0
53,83,83,5.0,5.0,953.0,333.0,953.0,333.0,0
53,12,12,958.0,5.0,590.0,544.0,590.0,544.0,0
53,52,52,5.0,338.0,410.0,723.5,723.5,410.0,1
53,277,277,1548.0,5.0,353.0,876.0,876.0,353.0,1
53,235,235,415.0,549.0,564.0,559.0,564.0,559.0,0
53,190,190,1901.0,5.0,352.0,784.0,784.0,352.0,1
53,158,158,979.0,881.0,853.0,309.0,853.0,309.0,0
53,386,386,1901.0,789.0,531.0,406.0,406.0,531.0,1
53,62,62,979.0,549.0,558.5,307.0,558.5,307.0,0
53,553,553,2253.0,5.0,182.0,633.0,182.0,633.0,0
53,433,433,415.0,338.0,511.0,152.0,511.0,152.0,0
54,333,333,5.0,5.0,869.0,299.0,869.0,299.0,0
54,205,205,874.0,5.0,953.0,333.0,953.0,333.0,0
54,429,429,5.0,304.0,360.0,760.0,760.0,360.0,1
54,298,298,1827.0,5.0,320.0,813.0,813.0,320.0,1
54,177,177,365.0,338.0,918.0,303.0,918.0,303.0,0
54,535,535,2147.0,5.0,253.0,929.0,929.0,253.0,1
54,328,328,365.0,641.0,826.0,353.0,826.0,353.0,0
54,478,478,1191.0,818.0,876.0,353.0,876.0,353.0,0
54,355,355,1283.0,338.0,527.0,480.0,480.0,527.0,1
54,517,517,2067.0,934.0,368.0,279.0,368.0,279.0,0
54,423,423,365.0,994.0,520.0,142.0,142.0,520.0,1
54,486,486,885.0,994.0,290.0,218.5,218.5,290.0,1
54,109,109,5.0,1064.0,276.0,150.0,150.0,276.0,1
55,49,49,5.0,5.0,791.0,321.0,791.0,321.0,0
55,125,125,796.0,5.0,757.0,343.0,757.0,343.0,0
55,331,331,1553.0,5.0,333.0,953.0,953.0,333.0,1
