board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1287,data2_1287,5.0,5.0,579.0,562.0,562.0,579.0,1
1,167,data2_167,5.0,567.0,734.5,441.5,734.5,441.5,0
1,1622,data2_1622,584.0,5.0,734.5,441.5,734.5,441.5,0
1,2129,data2_2129,739.5,446.5,584.0,553.0,584.0,553.0,0
1,1523,data2_1523,1318.5,5.0,790.0,403.0,790.0,403.0,0
2,997,data2_997,5.0,5.0,380.0,368.5,368.5,380.0,1
2,2423,data2_2423,5.0,373.5,382.0,365.0,382.0,365.0,0
2,2155,data2_2155,5.0,738.5,403.0,381.0,381.0,403.0,1
2,1160,data2_1160,408.0,5.0,403.0,381.0,381.0,403.0,1
2,758,data2_758,408.0,386.0,400.0,382.0,400.0,382.0,0
2,1827,data2_1827,808.0,386.0,400.0,382.0,400.0,382.0,0
2,207,data2_207,1208.0,5.0,1200.0,1200.0,1200.0,1200.0,0
2,789,data2_789,408.0,768.0,781.0,440.0,781.0,440.0,0
2,33,data2_33,811.0,5.0,371.0,362.0,362.0,371.0,1
2,238,data2_238,5.0,1119.5,383.0,60.0,383.0,60.0,0
3,1212,data2_1212,5.0,5.0,1938.0,1144.0,1938.0,1144.0,0
3,460,data2_460,1943.0,5.0,450.0,1124.0,450.0,1124.0,0
3,340,data2_340,5.0,1149.0,2336.0,60.0,2336.0,60.0,0
4,494,data2_494,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
4,506,data2_506,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
4,2321,data2_2321,5.0,1129.0,910.0,80.0,910.0,80.0,0
4,217,data2_217,915.0,1129.0,910.0,60.0,910.0,60.0,0
5,1454,data2_1454,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
5,2424,data2_2424,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
5,222,data2_222,5.0,1129.0,903.0,70.0,903.0,70.0,0
5,2334,data2_2334,908.0,1129.0,755.0,60.0,755.0,60.0,0
6,1946,data2_1946,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
6,1074,data2_1074,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
6,2332,data2_2332,5.0,1129.0,2372.0,70.0,2372.0,70.0,0
7,1953,data2_1953,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
7,1787,data2_1787,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
7,1743,data2_1743,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
8,2200,data2_2200,5.0,5.0,2295.0,830.0,2295.0,830.0,0
8,361,data2_361,5.0,835.0,2392.0,380.0,2392.0,380.0,0
8,342,data2_342,2300.0,5.0,123.5,622.0,123.5,622.0,0
9,77,data2_77,5.0,5.0,2320.0,683.0,2320.0,683.0,0
9,163,data2_163,5.0,688.0,2373.0,524.0,2373.0,524.0,0
9,283,data2_283,2325.0,5.0,60.0,476.0,476.0,60.0,1
10,1699,data2_1699,5.0,5.0,2320.0,677.0,2320.0,677.0,0
10,1091,data2_1091,5.0,682.0,2373.0,524.0,2373.0,524.0,0
