case,variant,N_board,U_global,U_avg_excl_last,U_last,runtime_s,LB_area,N_board_gap_to_LB
data2_formal_global_20260313,baseline_greedy,392,0.8873994779869079,0.8879888482439819,0.6569557074711099,5.424657300000001,353,39.0
data2_formal_global_20260313,rh_mcts_main_prev,392,0.887399477986908,0.8895250639901685,0.05629535071217415,1608.0471906999999,353,39.0
data2_formal_tailstrike_20260313,rh_mcts_main_tailstrike,390,0.891950244540687,0.8921477298477549,0.8151284600913733,1814.9078478,353,37.0
