round,case_id,N_board_baseline,N_board_ref,N_board_beam,U_global_beam,beam_candidates_generated,beam_active_states_max,post_repair_boards_saved,elapsed_s,out_case_dir
1,data3,175,177,177,0.8893653918931638,6.0,2.0,0.0,795.900666,D:\桌面\CXP\20260311 (2)\20260311\outputs\autonomous_beam_loop_formal_20260317\round_01\round_01__data3
1,data6,151,153,154,0.909356589552278,10.0,2.0,0.0,731.232853,D:\桌面\CXP\20260311 (2)\20260311\outputs\autonomous_beam_loop_formal_20260317\round_01\round_01__data6
1,I1_parts,71,70,70,0.8989180934944524,26.0,2.0,0.0,665.030418,D:\桌面\CXP\20260311 (2)\20260311\outputs\autonomous_beam_loop_formal_20260317\round_01\round_01__I1_parts
