experiment,suite,case_id,family,source,csv_path,n_items,variant,variant_label,seed,N_input,N_board,LB_area,gap_to_lb_pct,U_global,U_avg_excl_last,runtime_s,solver_kind,result_source,main_profile_tier,simulations
paper_ablation_smoke_20260315,public_compatible,cgcut1,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut1.csv,16,baseline_greedy,Greedy,1000,16,2,2,0.0,0.75,0.9866666666666667,0.005916699999999997,baseline_greedy,,base,0.0
paper_ablation_smoke_20260315,public_compatible,cgcut1,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut1.csv,16,ours_base,OursBase,1000,16,2,2,0.0,0.75,1.0,3.6793861999999997,,post_pipeline,small,1344.0
paper_ablation_smoke_20260315,public_compatible,cgcut1,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut1.csv,16,ours_noprior,OursNoPrior,1000,16,2,2,0.0,0.75,1.0,3.5087784000000006,,post_pipeline,small,798.0
paper_ablation_smoke_20260315,public_compatible,cgcut1,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut1.csv,16,rh_mcts_main,OursFull,1000,16,2,2,0.0,0.75,1.0,3.7277455999999995,,post_pipeline,small,1242.0
