case_id,family,status,elapsed_s,out_case_dir,n_rows,mcts_n_sim
data6,industrial_xlsx6,completed,368.067759,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\paper_sensitivity_data6\paper_sensitivity_data6__data6__nsim_1,3,1
data6,industrial_xlsx6,completed,365.68909,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\paper_sensitivity_data6\paper_sensitivity_data6__data6__nsim_2,3,2
data6,industrial_xlsx6,completed,371.75786,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\paper_sensitivity_data6\paper_sensitivity_data6__data6__nsim_3,3,3
data6,industrial_xlsx6,completed,369.52929,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\paper_sensitivity_data6\paper_sensitivity_data6__data6__nsim_5,3,5
