board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,274,274,5.0,5.0,2380.0,274.0,2380.0,274.0,0
1,253,253,5.0,279.0,2370.0,289.0,2370.0,289.0,0
1,870,870,5.0,568.0,2370.0,295.0,2370.0,295.0,0
1,1177,1177,5.0,863.0,2360.0,206.0,2360.0,206.0,0
1,956,956,5.0,1069.0,2397.0,146.0,2397.0,146.0,0
1,615,615,2375.0,279.0,60.0,780.0,780.0,60.0,1
2,1454,1454,5.0,5.0,2397.0,474.0,2397.0,474.0,0
2,514,514,5.0,479.0,2397.0,440.0,2397.0,440.0,0
2,607,607,5.0,919.0,2203.0,60.0,2203.0,60.0,0
2,1590,1590,5.0,979.0,2200.0,90.0,2200.0,90.0,0
3,81,81,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,1067,1067,5.0,817.0,2350.0,394.0,2350.0,394.0,0
3,608,608,2355.0,817.0,75.0,383.0,383.0,75.0,1
4,384,384,5.0,5.0,2321.0,814.0,2321.0,814.0,0
4,1977,1977,5.0,819.0,2350.0,394.0,2350.0,394.0,0
4,829,829,2355.0,5.0,80.0,1209.5,1209.5,80.0,1
5,2137,2137,5.0,5.0,1720.0,1071.0,1720.0,1071.0,0
5,1500,1500,1725.0,5.0,679.5,1209.0,1209.0,679.5,1
5,2086,2086,5.0,1076.0,1614.0,70.0,1614.0,70.0,0
5,471,471,5.0,1146.0,1433.0,60.0,1433.0,60.0,0
6,1516,1516,5.0,5.0,1627.5,1083.5,1627.5,1083.5,0
6,1023,1023,1632.5,5.0,732.0,1190.0,1190.0,732.0,1
6,1103,1103,5.0,1088.5,1550.0,70.0,1550.0,70.0,0
6,31,31,2364.5,5.0,70.0,1004.0,1004.0,70.0,1
7,547,547,5.0,5.0,1883.5,896.0,1883.5,896.0,0
7,519,519,5.0,901.0,2330.0,312.0,2330.0,312.0,0
7,343,343,1888.5,5.0,543.0,884.0,884.0,543.0,1
7,930,930,2335.0,889.0,73.5,310.0,73.5,310.0,0
8,1004,1004,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
8,2371,2371,1450.0,5.0,901.5,1144.0,901.5,1144.0,0
8,993,993,2351.5,5.0,70.0,944.0,944.0,70.0,1
8,881,881,5.0,1155.0,1004.0,60.0,1004.0,60.0,0
8,1355,1355,1009.0,1155.0,1004.0,60.0,1004.0,60.0,0
8,2169,2169,2013.0,1149.0,371.0,60.0,371.0,60.0,0
9,119,119,5.0,5.0,1440.0,1150.0,1440.0,1150.0,0
9,369,369,1445.0,5.0,900.0,989.0,900.0,989.0,0
9,2121,2121,1445.0,994.0,976.0,220.0,976.0,220.0,0
9,952,952,5.0,1155.0,1394.0,60.0,1394.0,60.0,0
9,2669,2669,2345.0,5.0,80.0,892.0,892.0,80.0,1
10,1982,1982,5.0,5.0,2257.0,710.0,2257.0,710.0,0
10,1675,1675,5.0,715.0,2357.0,499.0,2357.0,499.0,0
10,2304,2304,2262.0,5.0,145.5,649.5,145.5,649.5,0
10,1843,1843,2362.0,654.5,70.0,547.0,547.0,70.0,1
11,170,170,5.0,5.0,1395.0,1062.0,1395.0,1062.0,0
11,2033,2033,1400.0,5.0,1004.0,883.5,883.5,1004.0,1
11,869,869,1400.0,888.5,1033.5,322.0,1033.5,322.0,0
11,541,541,5.0,1067.0,1326.5,145.5,1326.5,145.5,0
12,1091,1091,5.0,5.0,1563.5,917.5,1563.5,917.5,0
12,1908,1908,1568.5,5.0,855.5,877.5,877.5,855.5,1
12,671,671,5.0,922.5,2320.0,288.0,2320.0,288.0,0
12,537,537,2325.0,882.5,110.0,330.0,110.0,330.0,0
13,1972,1972,5.0,5.0,2260.0,625.0,2260.0,625.0,0
13,340,340,5.0,630.0,2400.0,580.0,2400.0,580.0,0
13,527,527,2265.0,5.0,160.0,582.0,582.0,160.0,1
14,2492,2492,5.0,5.0,2400.0,580.0,2400.0,580.0,0
14,2138,2138,5.0,585.0,2400.0,574.0,2400.0,574.0,0
15,492,492,5.0,5.0,1832.0,755.0,1832.0,755.0,0
15,599,599,5.0,760.0,2400.0,440.0,2400.0,440.0,0
15,1156,1156,1837.0,5.0,550.0,755.0,755.0,550.0,1
16,546,546,5.0,5.0,1820.0,754.0,1820.0,754.0,0
16,1589,1589,5.0,759.0,2400.0,440.0,2400.0,440.0,0
16,1812,1812,1825.0,5.0,554.0,720.0,720.0,554.0,1
17,2664,2664,5.0,5.0,1534.0,894.0,1534.0,894.0,0
17,2329,2329,1539.0,5.0,887.0,982.0,982.0,887.0,1
17,1286,1286,5.0,899.0,1524.0,303.0,1524.0,303.0,0
17,754,754,1529.0,987.0,836.0,199.0,836.0,199.0,0
18,1409,1409,5.0,5.0,2330.0,586.0,2330.0,586.0,0
18,659,659,5.0,591.0,2410.0,564.0,2410.0,564.0,0
18,2196,2196,5.0,1155.0,1266.0,60.0,1266.0,60.0,0
18,2425,2425,1271.0,1155.0,1164.0,60.0,1164.0,60.0,0
18,827,827,2335.0,5.0,100.0,509.0,509.0,100.0,1
19,1495,1495,5.0,5.0,2410.0,564.0,2410.0,564.0,0
19,2536,2536,5.0,569.0,2410.0,564.0,2410.0,564.0,0
19,954,954,5.0,1133.0,2289.0,70.0,2289.0,70.0,0
20,847,847,5.0,5.0,2305.0,588.0,2305.0,588.0,0
20,41,41,5.0,593.0,2405.0,554.0,2405.0,554.0,0
