uid,Upi,Fleng,Fwidth
1,ngcut3_0001,3,2
2,ngcut3_0002,3,2
3,ngcut3_0003,7,2
4,ngcut3_0004,7,2
5,ngcut3_0005,7,2
6,ngcut3_0006,4,5
7,ngcut3_0007,4,5
8,ngcut3_0008,4,1
9,ngcut3_0009,4,1
10,ngcut3_0010,1,10
11,ngcut3_0011,8,4
12,ngcut3_0012,4,2
13,ngcut3_0013,4,2
14,ngcut3_0014,3,7
15,ngcut3_0015,3,7
16,ngcut3_0016,3,7
17,ngcut3_0017,6,2
18,ngcut3_0018,6,2
19,ngcut3_0019,6,2
20,ngcut3_0020,9,1
21,ngcut3_0021,9,1
