uid,Upi,Fleng,Fwidth
1,ngcut10_0001,1,30
2,ngcut10_0002,1,30
3,ngcut10_0003,1,30
4,ngcut10_0004,25,7
5,ngcut10_0005,27,9
6,ngcut10_0006,27,9
7,ngcut10_0007,27,9
8,ngcut10_0008,30,2
9,ngcut10_0009,30,2
10,ngcut10_0010,30,2
11,ngcut10_0011,26,7
12,ngcut10_0012,26,7
13,ngcut10_0013,26,7
