uid,Upi,Fleng,Fwidth
1,ngcut9_0001,14,2
2,ngcut9_0002,1,5
3,ngcut9_0003,20,4
4,ngcut9_0004,20,4
5,ngcut9_0005,12,3
6,ngcut9_0006,12,3
7,ngcut9_0007,12,3
8,ngcut9_0008,11,8
9,ngcut9_0009,11,8
10,ngcut9_0010,11,6
11,ngcut9_0011,11,6
12,ngcut9_0012,7,9
13,ngcut9_0013,17,5
14,ngcut9_0014,7,14
15,ngcut9_0015,7,14
16,ngcut9_0016,1,7
17,ngcut9_0017,1,7
18,ngcut9_0018,1,7
