uid,Upi,Fleng,Fwidth
1,ngcut1_0001,3,7
2,ngcut1_0002,3,7
3,ngcut1_0003,8,2
4,ngcut1_0004,8,2
5,ngcut1_0005,10,2
6,ngcut1_0006,5,4
7,ngcut1_0007,5,4
8,ngcut1_0008,5,4
9,ngcut1_0009,2,9
10,ngcut1_0010,2,9
