uid,Upi,Fleng,Fwidth
1,ngcut6_0001,2,9
2,ngcut6_0002,10,2
3,ngcut6_0003,10,2
4,ngcut6_0004,10,2
5,ngcut6_0005,2,4
6,ngcut6_0006,2,8
7,ngcut6_0007,2,8
8,ngcut6_0008,3,8
9,ngcut6_0009,4,1
10,ngcut6_0010,6,4
11,ngcut6_0011,6,4
12,ngcut6_0012,6,4
13,ngcut6_0013,10,3
14,ngcut6_0014,11,2
15,ngcut6_0015,4,5
