uid,Upi,Fleng,Fwidth
1,ngcut11_0001,3,23
2,ngcut11_0002,3,23
3,ngcut11_0003,3,23
4,ngcut11_0004,29,5
5,ngcut11_0005,21,2
6,ngcut11_0006,21,2
7,ngcut11_0007,21,2
8,ngcut11_0008,17,11
9,ngcut11_0009,17,11
10,ngcut11_0010,17,11
11,ngcut11_0011,14,7
12,ngcut11_0012,14,7
13,ngcut11_0013,8,5
14,ngcut11_0014,8,5
15,ngcut11_0015,21,8
