uid,Upi,Fleng,Fwidth
1,ngcut8_0001,15,3
2,ngcut8_0002,6,6
3,ngcut8_0003,6,6
4,ngcut8_0004,6,6
5,ngcut8_0005,13,1
6,ngcut8_0006,13,1
7,ngcut8_0007,8,7
8,ngcut8_0008,8,7
9,ngcut8_0009,18,5
10,ngcut8_0010,18,5
11,ngcut8_0011,18,5
12,ngcut8_0012,12,4
13,ngcut8_0013,8,3
