uid,Upi,Fleng,Fwidth
1,ngcut2_0001,1,10
2,ngcut2_0002,1,10
3,ngcut2_0003,1,10
4,ngcut2_0004,5,3
5,ngcut2_0005,5,3
6,ngcut2_0006,9,3
7,ngcut2_0007,9,3
8,ngcut2_0008,9,3
9,ngcut2_0009,6,1
10,ngcut2_0010,6,1
11,ngcut2_0011,6,1
12,ngcut2_0012,3,8
13,ngcut2_0013,3,8
14,ngcut2_0014,3,8
15,ngcut2_0015,4,1
16,ngcut2_0016,7,3
17,ngcut2_0017,7,3
