uid,Upi,Fleng,Fwidth
1,ngcut12_0001,16,6
2,ngcut12_0002,24,1
3,ngcut12_0003,24,1
4,ngcut12_0004,24,1
5,ngcut12_0005,6,28
6,ngcut12_0006,6,28
7,ngcut12_0007,6,28
8,ngcut12_0008,8,23
9,ngcut12_0009,8,23
10,ngcut12_0010,8,23
11,ngcut12_0011,5,1
12,ngcut12_0012,5,1
13,ngcut12_0013,5,1
14,ngcut12_0014,6,26
15,ngcut12_0015,6,26
16,ngcut12_0016,2,30
17,ngcut12_0017,2,30
18,ngcut12_0018,9,11
19,ngcut12_0019,9,11
20,ngcut12_0020,9,11
21,ngcut12_0021,4,30
22,ngcut12_0022,16,13
