uid,Upi,Fleng,Fwidth
1,ngcut7_0001,1,9
2,ngcut7_0002,1,9
3,ngcut7_0003,1,9
4,ngcut7_0004,16,3
5,ngcut7_0005,18,3
6,ngcut7_0006,20,2
7,ngcut7_0007,3,1
8,ngcut7_0008,3,1
