uid,Upi,Fleng,Fwidth
1,ngcut5_0001,10,3
2,ngcut5_0002,10,3
3,ngcut5_0003,9,3
4,ngcut5_0004,12,2
5,ngcut5_0005,12,2
6,ngcut5_0006,12,2
7,ngcut5_0007,11,3
8,ngcut5_0008,12,3
9,ngcut5_0009,12,3
10,ngcut5_0010,12,3
11,ngcut5_0011,11,1
12,ngcut5_0012,11,1
13,ngcut5_0013,11,1
14,ngcut5_0014,2,10
