uid,Upi,Fleng,Fwidth
1,ngcut4_0001,15,2
2,ngcut4_0002,15,2
3,ngcut4_0003,7,3
4,ngcut4_0004,9,1
5,ngcut4_0005,8,3
6,ngcut4_0006,12,2
7,ngcut4_0007,12,2
