case,seed,LB_area,N_board_baseline,N_board_baseline_gap_to_LB,N_board_delta,N_board_main,N_board_main_gap_to_LB,N_board_main_vs_baseline,N_board_ref,N_board_ref_gap_to_LB,U_avg_excl_last_delta,U_avg_excl_last_main,U_avg_excl_last_ref,U_global_baseline,U_global_delta,U_global_main,U_global_main_vs_baseline,U_global_ref,runtime_s_baseline,runtime_s_delta,runtime_s_main,runtime_s_ref,variant_baseline,variant_main,variant_ref,suite,case_id,family,source,csv_path,n_items,suite_runtime_s
main_industrial_xlsx6_1seed_300s__data6,1000,142,151,9.0,-3.0,150,8.0,-1.0,153,11.0,0.020310661981830513,0.9359984261961405,0.91568776421431,0.927423276761926,0.018306001933470872,0.9336060986070054,0.006182821845079345,0.9153000966735345,1.8232892,-200.9381482,265.9038033,466.8419515,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_1seed_300s,data6,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data6.csv,1114,735.656941
main_industrial_xlsx6_1seed_300s__data3,1000,160,175,15.0,-3.0,174,14.0,-1.0,177,17.0,0.016935007863910223,0.9097038349944775,0.8927688271305673,0.8995295678005144,0.015333886067123714,0.9046992779602875,0.005169710159773078,0.8893653918931638,2.0542752,-244.78476850000004,300.0970966,544.8818651,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_1seed_300s,data3,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data3.csv,1234,848.217416
main_industrial_xlsx6_1seed_300s__data5,1000,185,199,14.0,-3.0,198,13.0,-1.0,201,16.0,0.011560803908090667,0.9219284035116918,0.9103675996036011,0.9157784152217688,0.01373736654825386,0.92040355873299,0.004625143511221119,0.9066661921847361,3.5561170999999376,-242.7520472000001,467.09104219999995,709.8430894,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_1seed_300s,data5,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data5.csv,1649,1182.378882
main_industrial_xlsx6_1seed_300s__data4,1000,231,239,8.0,-3.0,239,8.0,0.0,242,11.0,0.010716255360011417,0.9537875009315739,0.9430712455715625,0.9523005898333442,0.011805379212809997,0.9523005898333442,0.0,0.9404952106205342,3.9345972999999503,-410.6036735,536.6187103,947.2223838,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_1seed_300s,data4,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data4.csv,2109,1489.669715
main_industrial_xlsx6_1seed_300s__data2,1000,353,392,39.0,-5.0,391,38.0,-1.0,396,43.0,0.009636146507458254,0.8901426306600101,0.8805064841525518,0.8873994779869079,0.011233194973096383,0.8896690418692277,0.0022695638823198028,0.8784358468961313,11.09920709999983,-381.78080750000026,647.9613130999996,1029.7421206,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_1seed_300s,data2,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data2.csv,2429,1690.733844
main_industrial_xlsx6_1seed_300s__data1,1000,319,343,24.0,-8.0,342,23.0,-1.0,350,31.0,0.018887157085938244,0.9202050328995848,0.9013178758136465,0.9172482096727811,0.021026976502440564,0.919930221981766,0.0026820123089849046,0.8989032454793254,9.061235399999987,-591.0144248000001,561.1699108000003,1152.1843356000004,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_1seed_300s,data1,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data1.csv,2819,1723.5487
