variant,U_avg_excl_last2_pct_mean,U_avg_excl_last2_pct_std,U_avg_excl_last_pct_mean,U_avg_excl_last_pct_std,U_avg_pct_mean,U_avg_pct_std,U_best_board_pct_mean,U_best_board_pct_std,U_global_pct_mean,U_global_pct_std,U_last_pct_mean,U_last_pct_std,U_worst_board_pct_mean,U_worst_board_pct_std,U_worst_excl_last_pct_mean,U_worst_excl_last_pct_std,n
baseline_greedy,95.41333422914987,0.0,95.3787500931574,0.0,95.23005898333444,0.0,98.47016930932546,0.0,95.23005898333442,0.0,59.84157484547165,0.0,59.84157484547165,0.0,87.18230986294006,0.0,1
ours_base,94.30632295305922,0.0,94.27603670320185,0.0,94.04952106205343,0.0,98.4621069604945,0.0,94.04952106205342,0.0,39.45925154528352,0.0,39.45925154528352,0.0,81.2052875571083,0.0,1
ours_noprior,94.42495172388695,0.0,94.36558690108066,0.0,94.04952106205343,0.0,97.88019853533996,0.0,94.0495210620534,0.0,17.87765385649019,0.0,17.87765385649019,0.0,80.11802942757323,0.0,1
rh_mcts_prefix_beam,95.38847488085072,0.0,95.34974257507358,0.0,95.23005898333444,0.0,98.47016930932546,0.0,95.23005898333446,0.0,66.7453641494222,0.0,66.7453641494222,0.0,81.22588013974737,0.0,1
