suite,ordinal,case_id,family,source,csv_path,n_items,status,started_s,elapsed_s,comparison_rows,has_comparison_table,out_case_dir,error
industrial_xlsx6_formal_3seed_1h_20260317,1,data6,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data6.csv,1114,completed,0.352958,15881.557464,3,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\industrial_xlsx6_formal_3seed_1h_20260317\industrial_xlsx6_formal_3seed_1h_20260317__data6,
industrial_xlsx6_formal_3seed_1h_20260317,2,data3,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data3.csv,1234,completed,0.354496,16117.597503,3,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\industrial_xlsx6_formal_3seed_1h_20260317\industrial_xlsx6_formal_3seed_1h_20260317__data3,
industrial_xlsx6_formal_3seed_1h_20260317,3,data5,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data5.csv,1649,running,15882.292714,,0,0,D:\桌面\CXP\20260311 (2)\20260311\outputs\industrial_xlsx6_formal_3seed_1h_20260317\industrial_xlsx6_formal_3seed_1h_20260317__data5,
industrial_xlsx6_formal_3seed_1h_20260317,4,data4,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data4.csv,2109,running,16118.285995,,0,0,D:\桌面\CXP\20260311 (2)\20260311\outputs\industrial_xlsx6_formal_3seed_1h_20260317\industrial_xlsx6_formal_3seed_1h_20260317__data4,
industrial_xlsx6_formal_3seed_1h_20260317,5,data2,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data2.csv,2429,pending,,,0,0,D:\桌面\CXP\20260311 (2)\20260311\outputs\industrial_xlsx6_formal_3seed_1h_20260317\industrial_xlsx6_formal_3seed_1h_20260317__data2,
industrial_xlsx6_formal_3seed_1h_20260317,6,data1,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data1.csv,2819,pending,,,0,0,D:\桌面\CXP\20260311 (2)\20260311\outputs\industrial_xlsx6_formal_3seed_1h_20260317\industrial_xlsx6_formal_3seed_1h_20260317__data1,
