case,variant,seed,N_input,N_board,part_area_sum,board_area_effective,LB_area,N_board_gap_to_LB,U_avg,U_avg_excl_last,U_avg_excl_last2,U_global,U_last,U_worst_excl_last,U_best_board,U_worst_board,last2_used_equiv,sparse_board_count,tail_waste_area,runtime_s,baseline_seed_injected,board_area_sum,coarse_fit_cache_entries,coarse_fit_cache_hits,coarse_fit_cache_misses,commit_combo_rounds,commit_force_rounds,commit_rounds,commit_steps,decode_cache_entries,decode_cache_hits,decode_cache_misses,elite_archive_size,global_pattern_attempts,global_pattern_backend,global_pattern_boards_saved,global_pattern_hint_patterns,global_pattern_improvements,global_pattern_master_status,global_pattern_memory_injected,global_pattern_memory_patterns,global_pattern_memory_relevant,global_pattern_memory_selected,global_pattern_patterns_generated,global_pattern_patterns_kept,layout_harvest_layouts,macro_actions_generated,macro_adaptive_anchor_suppressed,macro_adaptive_pattern_boosts,macro_adaptive_tail_boosts,macro_anchor_actions,macro_cache_entries,macro_cache_hits,macro_memory_fallback_hits,macro_memory_focus_hits,macro_pattern_actions,macro_rollout_steps,macro_single_actions,macro_tail_actions,main_profile_lb_area,main_profile_n_parts,main_profile_tier,micro_cache_entries,micro_cache_hits,micro_cache_misses,n_parts_sum,post_mcts_reserve_s,post_repair_alns_updates,post_repair_attempts,post_repair_backend,post_repair_best_window_start,post_repair_boards_saved,post_repair_cp_sat_used,post_repair_dynamic_expansions,post_repair_hint_patterns,post_repair_improvements,post_repair_master_status,post_repair_patterns_generated,post_repair_patterns_kept,post_repair_tail_strike_windows,post_repair_time_s,post_repair_window_normalizations,post_repair_windows_total,region_best_span,region_best_start_idx,region_nodes_expanded,region_proposals_total,region_rebuild_attempts,region_rebuild_improvements,region_time_s,repair_attempts,repair_best_from_elite_rank,repair_improvements,repair_nodes_expanded,repair_time_s,result_source,resume_cache_hit,rollout_cache_entries,rollout_cache_hits,rollout_cache_misses,root_dirichlet_applications,sa_lns_accepts,sa_lns_attempts,sa_lns_improvements,sa_lns_time_s,seed_rollout_cache_hits,simulations,solver_kind,solver_timeout_hit,tail_boards_cleared,tail_collapse_attempts,tail_collapse_improvements,used_area_sum,warmstart_cache_states,warmstart_candidates_generated,warmstart_candidates_kept,warmstart_capped,waste_area_sum
industrial_xlsx6_formal_3seed_1h_20260317__data3,rh_mcts_main,1000,1234,174,468600933.0499999,2940300.0,160,14.0,0.9046992779602875,0.9080398687227469,0.9085540330689112,0.9046992779602874,0.326777076054824,0.6978108035474335,0.9806837879602257,0.326777076054824,1.1463806772373017,1,2004050.0,1212.1986230999992,1.0,517963200.0,669055.0,23476633.0,669055.0,0.0,0.0,1.0,0.0,340910.0,280527.0,340910.0,8.0,1.0,cp_sat,0.0,174.0,1.0,hint:263|drop:UNKNOWN|min:FEASIBLE|qual:UNKNOWN,0.0,1221.0,9.0,9.0,10305.0,2482.0,68.0,26411.0,8011.0,9474.0,8638.0,1462.0,11047.0,1.0,89.0,7.0,222.0,9474.0,16155.0,8572.0,160,1234,large,3202724.0,25655637.0,3202724.0,1234,12.0,6.0,6.0,cp_sat,853.0,0.0,7.0,3.0,10.0,3.0,hint:10|drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,670.0,555.0,3.0,17.014232300000003,19.0,28.0,214.0,1020.0,2961.0,12.0,12.0,27.0,78.39643029999934,21.0,1.0,32.0,3444.0,104.8643192999989,post_pipeline,0,121.0,0.0,121.0,1.0,0.0,0.0,0.0,0.0071404000009351876,0.0,40.0,rh_mcts,1.0,1.0,3.0,2.0,468600933.0499999,11007.0,17.0,8.0,0.0,49362266.95
industrial_xlsx6_formal_3seed_1h_20260317__data3,rh_mcts_main,1001,1234,174,468600933.0499999,2940300.0,160,14.0,0.9046992779602875,0.9092539978725652,0.9099811234984656,0.9046992779602874,0.1167327331362537,0.6832162053211502,0.9806837879602257,0.1167327331362537,0.9009211233539371,1,2629310.0,1198.4779053000002,1.0,517963200.0,667271.0,23516041.0,667271.0,0.0,0.0,1.0,0.0,341217.0,286885.0,341217.0,8.0,1.0,cp_sat,0.0,174.0,1.0,hint:263|drop:UNKNOWN|min:FEASIBLE|qual:UNKNOWN,0.0,1269.0,9.0,9.0,10237.0,2171.0,70.0,26523.0,8172.0,9540.0,8786.0,1367.0,10839.0,1.0,48.0,16.0,136.0,9540.0,16287.0,8733.0,160,1234,large,3190544.0,25733011.0,3190544.0,1234,12.0,6.0,6.0,cp_sat,853.0,0.0,7.0,3.0,10.0,3.0,hint:10|drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,664.0,552.0,3.0,16.51870400000007,19.0,28.0,214.0,1020.0,2973.0,12.0,12.0,33.0,81.98118429999886,21.0,1.0,38.0,3456.0,107.91544319999957,post_pipeline,0,119.0,0.0,119.0,1.0,0.0,0.0,0.0,0.0058071000003110385,0.0,40.0,rh_mcts,1.0,1.0,3.0,2.0,468600933.0499999,10799.0,17.0,8.0,0.0,49362266.949999996
industrial_xlsx6_formal_3seed_1h_20260317__data3,rh_mcts_main,1002,1234,174,468600933.0499999,2940300.0,160,14.0,0.9046992779602875,0.9090258811689008,0.9097495145598833,0.9046992779602874,0.15619692287019618,0.7178230818328406,0.9806837879602257,0.15619692287019618,0.9407578607901101,1,2511833.0,1353.7318496999997,1.0,517963200.0,779681.0,28174543.0,779681.0,0.0,0.0,1.0,0.0,398747.0,276656.0,398747.0,8.0,1.0,cp_sat,0.0,174.0,1.0,hint:263|drop:UNKNOWN|min:FEASIBLE|qual:UNKNOWN,0.0,1297.0,11.0,11.0,10205.0,2181.0,78.0,32009.0,9084.0,11142.0,10112.0,2055.0,11058.0,1.0,237.0,60.0,950.0,11142.0,18965.0,10039.0,160,1234,large,3628433.0,29497807.0,3628433.0,1234,12.0,6.0,6.0,cp_sat,853.0,0.0,7.0,3.0,10.0,3.0,hint:10|drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,662.0,555.0,3.0,16.46537840000019,19.0,28.0,214.0,1020.0,2658.0,12.0,12.0,34.0,74.71213080000052,21.0,1.0,39.0,3141.0,100.55723209999996,post_pipeline,0,142.0,0.0,142.0,1.0,0.0,0.0,0.0,0.006543400000737165,0.0,48.0,rh_mcts,1.0,1.0,3.0,2.0,468600933.0499999,11010.0,17.0,8.0,0.0,49362266.95
