case,variant,seed,N_input,N_board,part_area_sum,board_area_effective,LB_area,N_board_gap_to_LB,U_avg,U_avg_excl_last,U_avg_excl_last2,U_global,U_last,U_worst_excl_last,U_best_board,U_worst_board,last2_used_equiv,sparse_board_count,tail_waste_area,runtime_s,baseline_seed_injected,board_area_sum,coarse_fit_cache_entries,coarse_fit_cache_hits,coarse_fit_cache_misses,commit_combo_rounds,commit_force_rounds,commit_rounds,commit_steps,decode_cache_entries,decode_cache_hits,decode_cache_misses,elite_archive_size,global_pattern_attempts,global_pattern_backend,global_pattern_boards_saved,global_pattern_hint_patterns,global_pattern_improvements,global_pattern_master_status,global_pattern_memory_injected,global_pattern_memory_patterns,global_pattern_memory_relevant,global_pattern_memory_selected,global_pattern_patterns_generated,global_pattern_patterns_kept,layout_harvest_layouts,macro_actions_generated,macro_adaptive_anchor_suppressed,macro_adaptive_pattern_boosts,macro_adaptive_tail_boosts,macro_anchor_actions,macro_cache_entries,macro_cache_hits,macro_memory_fallback_hits,macro_memory_focus_hits,macro_pattern_actions,macro_rollout_steps,macro_single_actions,macro_tail_actions,main_profile_lb_area,main_profile_n_parts,main_profile_tier,micro_cache_entries,micro_cache_hits,micro_cache_misses,n_parts_sum,post_mcts_reserve_s,post_repair_alns_updates,post_repair_attempts,post_repair_backend,post_repair_best_window_start,post_repair_boards_saved,post_repair_cp_sat_used,post_repair_dynamic_expansions,post_repair_hint_patterns,post_repair_improvements,post_repair_master_status,post_repair_patterns_generated,post_repair_patterns_kept,post_repair_tail_strike_windows,post_repair_time_s,post_repair_window_normalizations,post_repair_windows_total,region_best_span,region_best_start_idx,region_nodes_expanded,region_proposals_total,region_rebuild_attempts,region_rebuild_improvements,region_time_s,repair_attempts,repair_best_from_elite_rank,repair_improvements,repair_nodes_expanded,repair_time_s,result_source,resume_cache_hit,rollout_cache_entries,rollout_cache_hits,rollout_cache_misses,root_dirichlet_applications,sa_lns_accepts,sa_lns_attempts,sa_lns_improvements,sa_lns_time_s,seed_rollout_cache_hits,simulations,solver_kind,solver_timeout_hit,tail_boards_cleared,tail_collapse_attempts,tail_collapse_improvements,used_area_sum,warmstart_cache_states,warmstart_candidates_generated,warmstart_candidates_kept,warmstart_capped,waste_area_sum
industrial_xlsx6_formal_3seed_1h_20260317__data3,rh_mcts_ref,1000,1234,174,468600933.04999995,2940300.0,160,14.0,0.9046992779602875,0.9094658675452401,0.9092107414587539,0.9046992779602875,0.08007927976350443,0.7450349368449342,0.9806837879602257,0.08007927976350443,1.033426834184359,1,2738420.0,3955.0441082,1.0,517963200.0,5514092.0,269449329.0,5514092.0,0.0,0.0,2.0,2.0,1140242.0,227278.0,1140242.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,13746.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,160,1234,base,5701979.0,123802867.0,5701979.0,1234,45.0,0.0,3.0,cp_sat,0.0,0.0,3.0,0.0,100.0,1.0,hint:100|drop:OPTIMAL,1307.0,795.0,0.0,18.57255189999978,0.0,23.0,214.0,1020.0,2901.0,12.0,12.0,25.0,85.81633950000014,18.0,1.0,34.0,3169.0,153.2654246000002,post_pipeline,0,584.0,0.0,584.0,0.0,0.0,0.0,0.0,0.028669799999988754,0.0,72.0,rh_mcts,1.0,1.0,3.0,1.0,468600933.04999995,13674.0,25.0,8.0,0.0,49362266.95
industrial_xlsx6_formal_3seed_1h_20260317__data3,rh_mcts_ref,1001,1234,174,468600933.04999995,2940300.0,160,14.0,0.9046992779602875,0.9094658675452401,0.9092107414587539,0.9046992779602875,0.08007927976350443,0.7450349368449342,0.9806837879602257,0.08007927976350443,1.033426834184359,1,2738420.0,4209.149400400001,1.0,517963200.0,3755460.0,180935425.0,3755460.0,0.0,0.0,2.0,1.0,783933.0,212465.0,783933.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,13498.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,160,1234,base,4127842.0,85668164.0,4127842.0,1234,45.0,0.0,3.0,cp_sat,0.0,0.0,3.0,0.0,100.0,1.0,hint:100|drop:OPTIMAL,1307.0,795.0,0.0,22.23175210000045,0.0,23.0,214.0,1020.0,2976.0,12.0,12.0,30.0,86.64599590000034,18.0,1.0,39.0,3239.0,157.48943280000185,post_pipeline,0,392.0,0.0,392.0,0.0,0.0,0.0,0.0,0.004837799999222625,0.0,48.0,rh_mcts,1.0,1.0,3.0,1.0,468600933.04999995,13450.0,25.0,8.0,0.0,49362266.95
industrial_xlsx6_formal_3seed_1h_20260317__data3,rh_mcts_ref,1002,1234,174,468600933.04999995,2940300.0,160,14.0,0.9046992779602875,0.9094658675452401,0.9092107414587539,0.9046992779602875,0.08007927976350443,0.7450349368449342,0.9806837879602257,0.08007927976350443,1.033426834184359,1,2738420.0,4180.1785199000005,1.0,517963200.0,3757777.0,180518651.0,3757777.0,0.0,0.0,2.0,1.0,781766.0,207861.0,781766.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,13726.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,160,1234,base,4128170.0,85081047.0,4128170.0,1234,45.0,0.0,3.0,cp_sat,0.0,0.0,3.0,0.0,100.0,1.0,hint:100|drop:OPTIMAL,1307.0,795.0,0.0,18.387703899999906,0.0,23.0,214.0,1020.0,2961.0,12.0,12.0,22.0,81.05778760000067,18.0,1.0,31.0,3234.0,149.2081537999984,post_pipeline,0,392.0,0.0,392.0,0.0,0.0,0.0,0.0,0.00470599999971455,0.0,48.0,rh_mcts,1.0,1.0,3.0,1.0,468600933.04999995,13678.0,25.0,8.0,0.0,49362266.95
