case,seed,LB_area,N_board_baseline,N_board_baseline_gap_to_LB,N_board_delta,N_board_main,N_board_main_gap_to_LB,N_board_main_vs_baseline,N_board_ref,N_board_ref_gap_to_LB,U_avg_excl_last_delta,U_avg_excl_last_main,U_avg_excl_last_ref,U_global_baseline,U_global_delta,U_global_main,U_global_main_vs_baseline,U_global_ref,runtime_s_baseline,runtime_s_delta,runtime_s_main,runtime_s_ref,variant_baseline,variant_main,variant_ref,suite,case_id,family,source,csv_path,n_items,suite_runtime_s
generalization_public_1seed_300s__gcut13,1000,2,2,0.0,0.0,2,0.0,0.0,2,0.0,-0.004939555555555586,0.9457435555555556,0.9506831111111111,0.795306,0.0,0.795306,0.0,0.795306,0.0494088999998894,-306.70992909999995,6.266011799999887,312.97594089999984,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut13,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut13.csv,32,320.352196
generalization_public_1seed_300s__gcut4,1000,12,14,2.0,0.0,13,1.0,-1.0,13,1.0,-0.006531999999999982,0.92452,0.931052,0.8358948571428572,0.0,0.9001944615384615,0.06429960439560434,0.9001944615384615,0.4012001000000964,-291.8423915000003,2.9545069999999214,294.7968985000002,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut4,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut4.csv,50,299.634164
generalization_public_1seed_300s__gcut8,1000,12,13,1.0,0.0,13,1.0,0.0,13,1.0,0.0,0.9142373333333333,0.9142373333333333,0.863219076923077,0.0,0.863219076923077,0.0,0.863219076923077,0.34003050000001167,-287.9530590000004,3.4096888999997645,291.36274790000016,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut8,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut8.csv,50,296.806494
generalization_public_1seed_300s__ngcut4,1000,2,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.92,0.92,0.54,0.0,0.54,0.0,0.54,0.42931670000007216,-285.5507596000002,0.5738167999998041,286.1245764,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut4,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut4.csv,7,288.878138
generalization_public_1seed_300s__ngcut7,1000,1,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.4375,0.4375,0.4375,0.0,0.4375,0.0,0.4375,0.36223370000016075,-285.04411260000006,0.6900860000000648,285.7341986000001,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut7,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut7.csv,8,288.591565
generalization_public_1seed_300s__ngcut1,1000,2,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,0.87,0.87,0.6333333333333333,0.0,0.6333333333333333,0.0,0.6333333333333333,0.3753308999998808,-285.88056719999986,0.7554583000001003,286.63602549999996,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut1,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut1.csv,10,289.699948
generalization_public_1seed_300s__ngcut10,1000,2,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,0.9388888888888889,0.9388888888888889,0.6370370370370371,0.0,0.6370370370370371,0.0,0.6370370370370371,0.4277176000000509,-286.78837079999994,0.7410314999997354,287.5294022999997,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut10,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut10.csv,13,290.672937
generalization_public_1seed_300s__ngcut8,1000,2,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.965,0.965,0.79125,0.0,0.79125,0.0,0.79125,0.39244079999980386,-287.5098880999999,1.035560599999826,288.5454486999997,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut8,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut8.csv,13,291.974025
generalization_public_1seed_300s__ngcut5,1000,3,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.9833333333333334,0.9833333333333334,0.7844444444444445,0.0,0.7844444444444445,0.0,0.7844444444444445,0.6619630000000143,-290.31997589999946,0.8252254000003632,291.1452012999998,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut5,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut5.csv,14,294.427218
generalization_public_1seed_300s__ngcut11,1000,2,2,0.0,0.0,2,0.0,0.0,2,0.0,-0.006666666666666599,0.9633333333333334,0.97,0.8238888888888889,0.0,0.8238888888888889,0.0,0.8238888888888889,0.3684624000002259,-287.4223981,1.5747765999999501,288.99717469999996,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut11,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut11.csv,15,292.822752
generalization_public_1seed_300s__ngcut6,1000,2,3,1.0,0.0,2,0.0,-1.0,2,0.0,-0.013333333333333308,0.9866666666666667,1.0,0.6444444444444445,0.0,0.9666666666666667,0.3222222222222222,0.9666666666666667,0.40971959999978935,-286.46461260000024,0.9816304999999375,287.4462431000002,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut6,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut6.csv,15,290.639563
generalization_public_1seed_300s__ngcut2,1000,3,4,1.0,0.0,3,0.0,-1.0,3,0.0,-0.0050000000000000044,0.99,0.995,0.6925,0.0,0.9233333333333333,0.23083333333333333,0.9233333333333333,0.3941085000001294,-287.17632589999994,0.9209725000000617,288.0972984,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut2,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut2.csv,17,291.270164
generalization_public_1seed_300s__ngcut9,1000,3,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0024999999999999467,0.98,0.9775,0.8116666666666666,0.0,0.8116666666666666,0.0,0.8116666666666666,0.379024699999718,-288.7203743,1.1661647999999332,289.88653909999994,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut9,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut9.csv,18,293.061938
generalization_public_1seed_300s__ngcut3,1000,3,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.995,0.995,0.9233333333333333,0.0,0.9233333333333333,0.0,0.9233333333333333,0.4478739000001042,-289.4191801999996,1.2986668000003192,290.7178469999999,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut3,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut3.csv,21,294.322532
generalization_public_1seed_300s__ngcut12,1000,3,3,0.0,0.0,3,0.0,0.0,3,0.0,-0.002777777777777768,0.9550000000000001,0.9577777777777778,0.8503703703703703,0.0,0.8503703703703703,0.0,0.8503703703703703,0.41293160000032003,-286.5999237999995,0.5752933000003395,287.1752170999998,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,ngcut12,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut12.csv,22,288.932579
