case,variant,seed,N_input,N_board,part_area_sum,board_area_effective,LB_area,N_board_gap_to_LB,U_avg,U_avg_excl_last,U_avg_excl_last2,U_global,U_last,U_worst_excl_last,U_best_board,U_worst_board,last2_used_equiv,sparse_board_count,tail_waste_area,runtime_s,baseline_seed_injected,beam_active_states_max,beam_candidates_generated,beam_closure_hard_tail_overlap,beam_closure_last_util,beam_closure_open_risk,beam_closure_sparse_count,beam_closure_tail_waste,beam_fast_completed_candidates,beam_focused_repair_attempts,beam_focused_repair_candidates,beam_focused_repair_improvements,beam_focused_repair_windows,beam_force_rounds,beam_postprocess_candidates,beam_rounds,board_area_sum,coarse_fit_cache_entries,coarse_fit_cache_hits,coarse_fit_cache_misses,commit_combo_rounds,commit_force_rounds,commit_rounds,commit_steps,decode_cache_entries,decode_cache_hits,decode_cache_misses,elite_archive_size,global_pattern_attempts,global_pattern_backend,global_pattern_boards_saved,global_pattern_hint_patterns,global_pattern_improvements,global_pattern_master_status,global_pattern_memory_injected,global_pattern_memory_patterns,global_pattern_memory_relevant,global_pattern_memory_selected,global_pattern_patterns_generated,global_pattern_patterns_kept,layout_harvest_layouts,macro_actions_generated,macro_adaptive_anchor_suppressed,macro_adaptive_pattern_boosts,macro_adaptive_tail_boosts,macro_anchor_actions,macro_cache_entries,macro_cache_hits,macro_frontier_resets,macro_memory_fallback_hits,macro_memory_focus_hits,macro_pattern_actions,macro_rollout_early_single_fallbacks,macro_rollout_pattern_steps,macro_rollout_single_fallback_steps,macro_rollout_steps,macro_single_actions,macro_tail_actions,main_profile_lb_area,main_profile_n_parts,main_profile_tier,micro_cache_entries,micro_cache_hits,micro_cache_misses,n_parts_sum,oracle_completion_cache_entries,oracle_completion_cache_hits,oracle_completion_calls,oracle_completion_last_best_mode,oracle_completion_mode_evals,post_mcts_reserve_s,post_repair_alns_updates,post_repair_attempts,post_repair_backend,post_repair_best_window_start,post_repair_boards_saved,post_repair_cp_sat_used,post_repair_dynamic_expansions,post_repair_hint_patterns,post_repair_improvements,post_repair_master_status,post_repair_patterns_generated,post_repair_patterns_kept,post_repair_tail_strike_windows,post_repair_time_s,post_repair_window_normalizations,post_repair_windows_total,prefix_candidates_generated,prefix_depth_reached,prefix_light_repair_candidates,prefix_light_repair_improvements,preprocess_distinct_shapes,preprocess_duplicate_parts,preprocess_large_part_count,preprocess_quantized_parts,preprocess_strip_part_count,region_best_span,region_best_start_idx,region_nodes_expanded,region_proposals_total,region_rebuild_attempts,region_rebuild_improvements,region_time_s,repair_attempts,repair_best_from_elite_rank,repair_improvements,repair_nodes_expanded,repair_time_s,result_source,resume_cache_hit,rollout_cache_entries,rollout_cache_hits,rollout_cache_misses,root_dirichlet_applications,sa_lns_accepts,sa_lns_attempts,sa_lns_improvements,sa_lns_time_s,seed_rollout_cache_hits,simulations,solver_bundle,solver_kind,solver_role,solver_timeout_hit,tail_boards_cleared,tail_collapse_attempts,tail_collapse_improvements,used_area_sum,warmstart_cache_states,warmstart_candidates_generated,warmstart_candidates_kept,warmstart_capped,waste_area_sum
main_industrial_xlsx6_3seed_3600s__data4,rh_mcts_ref,1000,2109,242,677519206.5999999,2940300.0,231,11.0,0.9404952106205343,0.9425721382285804,0.9425322110431783,0.9404952106205342,0.4399556570814297,0.839121371943026,0.9846210696049449,0.4399556570814297,1.3921103198065037,1,1667140.0,5086.161624900002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720385600.0,10441115.0,410333381.0,10441115.0,0.0,0.0,2.0,2.0,1175487.0,554343.0,1175487.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,25269.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,2109,base,12362479.0,192963578.0,12362479.0,2109,0.0,0.0,0.0,,0.0,45.0,0.0,3.0,cp_sat,518.0,0.0,3.0,0.0,51.0,2.0,hint:81|drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,868.0,641.0,0.0,11.471358700000565,0.0,20.0,0.0,0.0,0.0,0.0,1117,992,594,0,288,143.0,1966.0,3031.0,12.0,12.0,31.0,98.41652220000105,18.0,3.0,40.0,3527.0,140.57562239999606,post_pipeline,0,336.0,0.0,336.0,0.0,0.0,0.0,0.0,0.3607860999982222,1.0,42.0,single_action_core,rh_mcts,reference_core,1.0,1.0,3.0,1.0,677519206.5999999,25228.0,25.0,8.0,0.0,42866393.400000006
main_industrial_xlsx6_3seed_3600s__data4,rh_mcts_ref,1001,2109,242,677519206.5999999,2940300.0,231,11.0,0.9404952106205343,0.9425721382285804,0.9425322110431783,0.9404952106205342,0.4399556570814297,0.839121371943026,0.9846210696049449,0.4399556570814297,1.3921103198065037,1,1667140.0,4251.182806299999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720385600.0,8310660.0,321640865.0,8310660.0,0.0,0.0,2.0,2.0,955706.0,528422.0,955706.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,25482.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,2109,base,10475768.0,157385791.0,10475768.0,2109,0.0,0.0,0.0,,0.0,45.0,0.0,3.0,cp_sat,518.0,0.0,3.0,0.0,51.0,2.0,hint:81|drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,868.0,641.0,0.0,11.411864399997285,0.0,20.0,0.0,0.0,0.0,0.0,1117,992,594,0,288,127.0,1982.0,2704.0,12.0,12.0,47.0,102.01259460000074,18.0,4.0,56.0,3200.0,141.56859789999726,post_pipeline,0,264.0,0.0,264.0,0.0,0.0,0.0,0.0,0.42406449999907636,1.0,33.0,single_action_core,rh_mcts,reference_core,1.0,1.0,3.0,1.0,677519206.5999999,25450.0,25.0,8.0,0.0,42866393.400000006
main_industrial_xlsx6_3seed_3600s__data4,rh_mcts_ref,1002,2109,242,677519206.6,2940300.0,231,11.0,0.9404952106205343,0.9423762546542501,0.9425903619938637,0.9404952106205343,0.48716359849502816,0.8331789841440473,0.9846210696049449,0.48716359849502816,1.3781540916420316,1,1526611.4000000001,4801.741787399998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720385600.0,8998343.0,351629471.0,8998343.0,0.0,0.0,3.0,2.0,1007576.0,427186.0,1007576.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,25503.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,2109,base,10402438.0,166212071.0,10402438.0,2109,0.0,0.0,0.0,,0.0,45.0,0.0,3.0,cp_sat,428.0,0.0,3.0,0.0,56.0,2.0,hint:56|drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,928.0,684.0,0.0,15.147562900001503,0.0,23.0,0.0,0.0,0.0,0.0,1117,992,594,0,288,92.0,2017.0,1512.0,12.0,12.0,32.0,260.5005265,18.0,2.0,34.0,1976.0,314.55412310000247,post_pipeline,0,288.0,0.0,288.0,0.0,0.0,0.0,0.0,0.4838214999981574,1.0,36.0,single_action_core,rh_mcts,reference_core,1.0,0.0,3.0,0.0,677519206.6,25468.0,25.0,8.0,0.0,42866393.4
