case,seed,LB_area,N_board_baseline,N_board_baseline_gap_to_LB,N_board_delta,N_board_main,N_board_main_gap_to_LB,N_board_main_vs_baseline,N_board_ref,N_board_ref_gap_to_LB,U_avg_excl_last_delta,U_avg_excl_last_main,U_avg_excl_last_ref,U_global_baseline,U_global_delta,U_global_main,U_global_main_vs_baseline,U_global_ref,runtime_s_baseline,runtime_s_delta,runtime_s_main,runtime_s_ref,variant_baseline,variant_main,variant_ref
main_industrial_xlsx6_3seed_3600s__data3,1000,160,175,15.0,-3.0,174,14.0,-1.0,177,17.0,0.016935007863910223,0.9097038349944775,0.8927688271305673,0.8995295678005144,0.015333886067123714,0.9046992779602875,0.005169710159773078,0.8893653918931638,2.0630366,-3448.9878088999994,622.0001494000007,4070.9879583,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref
main_industrial_xlsx6_3seed_3600s__data3,1001,160,175,15.0,-2.0,174,14.0,-1.0,176,16.0,0.011082125104662888,0.9097038349944775,0.8986217098898146,0.8995295678005144,0.010280673613185187,0.9046992779602875,0.005169710159773078,0.8944186043471023,1.7541162,-4014.5991612999987,329.86192440000013,4344.461085699999,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref
main_industrial_xlsx6_3seed_3600s__data3,1002,160,175,15.0,-2.0,174,14.0,-1.0,176,16.0,0.012288526033752634,0.9097038349944775,0.8974153089607249,0.8995295678005144,0.010280673613185298,0.9046992779602875,0.005169710159773078,0.8944186043471022,2.4541822,-3751.053463,304.35944290000043,4055.4129059000006,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref
