case,variant,seed,N_input,N_board,part_area_sum,board_area_effective,LB_area,N_board_gap_to_LB,U_avg,U_avg_excl_last,U_avg_excl_last2,U_global,U_last,U_worst_excl_last,U_best_board,U_worst_board,last2_used_equiv,sparse_board_count,tail_waste_area,runtime_s,baseline_seed_injected,beam_active_states_max,beam_candidates_generated,beam_closure_hard_tail_overlap,beam_closure_last_util,beam_closure_open_risk,beam_closure_sparse_count,beam_closure_tail_waste,beam_fast_completed_candidates,beam_focused_repair_attempts,beam_focused_repair_candidates,beam_focused_repair_improvements,beam_focused_repair_windows,beam_force_rounds,beam_postprocess_candidates,beam_rounds,board_area_sum,coarse_fit_cache_entries,coarse_fit_cache_hits,coarse_fit_cache_misses,commit_combo_rounds,commit_force_rounds,commit_rounds,commit_steps,decode_cache_entries,decode_cache_hits,decode_cache_misses,elite_archive_size,global_pattern_attempts,global_pattern_backend,global_pattern_boards_saved,global_pattern_hint_patterns,global_pattern_improvements,global_pattern_master_status,global_pattern_memory_injected,global_pattern_memory_patterns,global_pattern_memory_relevant,global_pattern_memory_selected,global_pattern_patterns_generated,global_pattern_patterns_kept,layout_harvest_layouts,macro_actions_generated,macro_adaptive_anchor_suppressed,macro_adaptive_pattern_boosts,macro_adaptive_tail_boosts,macro_anchor_actions,macro_cache_entries,macro_cache_hits,macro_frontier_resets,macro_memory_fallback_hits,macro_memory_focus_hits,macro_pattern_actions,macro_rollout_early_single_fallbacks,macro_rollout_pattern_steps,macro_rollout_single_fallback_steps,macro_rollout_steps,macro_single_actions,macro_tail_actions,main_profile_lb_area,main_profile_n_parts,main_profile_tier,micro_cache_entries,micro_cache_hits,micro_cache_misses,n_parts_sum,oracle_completion_cache_entries,oracle_completion_cache_hits,oracle_completion_calls,oracle_completion_last_best_mode,oracle_completion_mode_evals,post_mcts_reserve_s,post_repair_alns_updates,post_repair_attempts,post_repair_backend,post_repair_best_window_start,post_repair_boards_saved,post_repair_cp_sat_used,post_repair_dynamic_expansions,post_repair_hint_patterns,post_repair_improvements,post_repair_master_status,post_repair_patterns_generated,post_repair_patterns_kept,post_repair_tail_strike_windows,post_repair_time_s,post_repair_window_normalizations,post_repair_windows_total,prefix_candidates_generated,prefix_depth_reached,prefix_light_repair_candidates,prefix_light_repair_improvements,preprocess_distinct_shapes,preprocess_duplicate_parts,preprocess_large_part_count,preprocess_quantized_parts,preprocess_strip_part_count,region_best_span,region_best_start_idx,region_nodes_expanded,region_proposals_total,region_rebuild_attempts,region_rebuild_improvements,region_time_s,repair_attempts,repair_best_from_elite_rank,repair_improvements,repair_nodes_expanded,repair_time_s,result_source,resume_cache_hit,rollout_cache_entries,rollout_cache_hits,rollout_cache_misses,root_dirichlet_applications,sa_lns_accepts,sa_lns_attempts,sa_lns_improvements,sa_lns_time_s,seed_rollout_cache_hits,simulations,solver_bundle,solver_kind,solver_role,solver_timeout_hit,tail_boards_cleared,tail_collapse_attempts,tail_collapse_improvements,used_area_sum,warmstart_cache_states,warmstart_candidates_generated,warmstart_candidates_kept,warmstart_capped,waste_area_sum
main_industrial_xlsx6_3seed_3600s__data6,rh_mcts_ref,1000,1114,153,416873795.15,2940300.0,142,11.0,0.9153000966735346,0.91568776421431,0.9162806234660625,0.9153000966735345,0.8563746304756786,0.7696842246707875,0.979277076054824,0.7696842246707875,1.6825406476753562,0,427544.0,4073.3406225999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455450400.0,7671539.0,349600316.0,7671539.0,0.0,0.0,2.0,1.0,1494099.0,351877.0,1494099.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,13249.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,1114,base,7594069.0,155035187.0,7594069.0,1114,0.0,0.0,0.0,,0.0,45.0,0.0,3.0,cp_sat,-1.0,0.0,3.0,0.0,22.0,0.0,drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,1074.0,523.0,0.0,6.748963399999866,0.0,21.0,0.0,0.0,0.0,0.0,536,578,373,0,99,28.0,1086.0,3594.0,12.0,12.0,17.0,28.612656000000243,18.0,1.0,17.0,4314.0,40.8480097000006,post_pipeline,0,864.0,0.0,864.0,0.0,0.0,0.0,0.0,0.11219290000008186,1.0,108.0,single_action_core,rh_mcts,reference_core,1.0,0.0,3.0,0.0,416873795.15,13142.0,25.0,8.0,0.0,38576604.85
main_industrial_xlsx6_3seed_3600s__data6,rh_mcts_ref,1001,1114,154,416873795.15000004,2940300.0,142,12.0,0.9093565895522778,0.9149927854932173,0.9163271683696022,0.9093565895522779,0.04701861058855147,0.7121665882827197,0.979277076054824,0.04701861058855147,0.7591851988712711,1,2836835.0,4584.778918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458427200.0,7808751.0,355822088.0,7808751.0,0.0,0.0,2.0,2.0,1520515.0,363705.0,1520515.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,13199.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,1114,base,7640922.0,157882008.0,7640922.0,1114,0.0,0.0,0.0,,0.0,45.0,0.0,3.0,cp_sat,542.0,0.0,3.0,0.0,19.0,1.0,hint:19|drop:OPTIMAL,455.0,348.0,0.0,3.9840348999987327,0.0,24.0,0.0,0.0,0.0,0.0,536,578,373,0,99,456.0,658.0,3278.0,12.0,12.0,16.0,51.75118509999993,18.0,3.0,19.0,3923.0,70.09582539999974,post_pipeline,0,880.0,0.0,880.0,0.0,0.0,0.0,0.0,0.1019492999985232,2.0,111.0,single_action_core,rh_mcts,reference_core,1.0,0.0,3.0,1.0,416873795.15000004,13090.0,25.0,8.0,0.0,41553404.849999994
main_industrial_xlsx6_3seed_3600s__data6,rh_mcts_ref,1002,1114,154,416873795.15,2940300.0,142,12.0,0.9093565895522778,0.9150208280638243,0.9157902066551507,0.9093565895522778,0.04272809728567589,0.6037837610857296,0.9797205052405268,0.04272809728567589,0.840803379467885,1,2849607.0,4311.4451027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458427200.0,7270909.0,330030736.0,7270909.0,0.0,0.0,4.0,4.0,1441933.0,333995.0,1441933.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,13267.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,1114,base,7432944.0,149995698.0,7432944.0,1114,0.0,0.0,0.0,,0.0,45.0,0.0,3.0,cp_sat,442.0,0.0,3.0,0.0,15.0,2.0,hint:26|drop:INFEASIBLE|min:OPTIMAL|qual:OPTIMAL,304.0,230.0,0.0,2.2425588999994943,0.0,23.0,0.0,0.0,0.0,0.0,536,578,373,0,99,850.0,264.0,2713.0,12.0,12.0,14.0,291.6926325000004,18.0,2.0,27.0,3287.0,307.0855854000001,global_best,0,816.0,0.0,816.0,0.0,0.0,0.0,0.0,0.14654159999918193,1.0,102.0,single_action_core,rh_mcts,reference_core,1.0,0.0,3.0,1.0,416873795.15,13166.0,25.0,8.0,0.0,41553404.85
