case,variant,seed,N_input,N_board,U_avg,U_avg_excl_last,U_avg_excl_last2,U_global,U_last,U_worst_excl_last,U_best_board,U_worst_board,last2_used_equiv,sparse_board_count,tail_waste_area,U_avg_pct,U_avg_excl_last_pct,U_avg_excl_last2_pct,U_global_pct,U_last_pct,U_worst_excl_last_pct,U_best_board_pct,U_worst_board_pct,runtime_s
probe_frontierreset_data6_20260317__data6,baseline_greedy,1000,1114,151,0.9274232767619258,0.9311892102257457,0.9320458799729091,0.927423276761926,0.3625332571889277,0.647484883095942,0.981285944638538,0.3625332571889277,1.1660786750873422,1,1897611.0,92.74232767619259,93.11892102257457,93.20458799729091,92.7423276761926,36.25332571889277,64.7484883095942,98.1285944638538,36.25332571889277,0.6417857
probe_frontierreset_data6_20260317__data6,rh_mcts_main,1000,1114,154,0.9093565895522778,0.9142520379826211,0.9148139021812544,0.9093565895522778,0.16035297970975546,0.7161448535339963,0.9797205052405268,0.16035297970975546,0.9892016595001344,1,2499461.25,90.93565895522778,91.42520379826212,91.48139021812544,90.93565895522778,16.035297970975545,71.61448535339963,97.97205052405268,16.035297970975545,382.56546210000005
probe_frontierreset_data6_20260317__data6,rh_mcts_ref,1000,1114,153,0.9153000966735346,0.91568776421431,0.9162806234660625,0.9153000966735345,0.8563746304756786,0.7696842246707875,0.979277076054824,0.7696842246707875,1.6825406476753562,0,427544.0,91.53000966735347,91.568776421431,91.62806234660626,91.53000966735345,85.63746304756786,76.96842246707874,97.9277076054824,76.96842246707874,373.1182365
