board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,335,335,5.0,5.0,354.0,343.0,354.0,343.0,0
1,320,320,5.0,348.0,421.5,371.0,421.5,371.0,0
1,321,321,5.0,719.0,421.5,371.0,421.5,371.0,0
1,434,434,426.5,5.0,421.5,371.0,421.5,371.0,0
1,472,472,426.5,376.0,421.5,371.0,421.5,371.0,0
1,640,640,426.5,747.0,421.5,371.0,421.5,371.0,0
1,537,537,848.0,5.0,983.5,1207.0,1207.0,983.5,1
1,175,175,1831.5,5.0,460.0,917.0,460.0,917.0,0
1,218,218,1831.5,922.0,422.5,264.0,422.5,264.0,0
1,422,422,2291.5,5.0,94.0,913.5,913.5,94.0,1
1,283,283,5.0,1090.0,306.0,70.0,306.0,70.0,0
1,11,11,311.0,1118.0,264.0,60.0,264.0,60.0,0
2,785,785,5.0,5.0,2172.5,918.5,2172.5,918.5,0
2,827,827,5.0,923.5,2285.0,289.0,2285.0,289.0,0
2,60,60,2177.5,5.0,251.0,814.0,814.0,251.0,1
2,1009,1009,2290.0,819.0,145.0,380.0,380.0,145.0,1
3,533,533,5.0,5.0,2360.0,800.0,2360.0,800.0,0
3,81,81,5.0,805.0,2299.0,400.0,2299.0,400.0,0
3,13,13,2365.0,5.0,70.0,1113.0,1113.0,70.0,1
4,569,569,5.0,5.0,2360.0,800.0,2360.0,800.0,0
4,788,788,5.0,805.0,2335.0,380.0,2335.0,380.0,0
4,618,618,2365.0,5.0,70.0,1075.0,1075.0,70.0,1
5,900,900,5.0,5.0,2400.0,750.0,2400.0,750.0,0
5,539,539,5.0,755.0,2299.0,415.0,2299.0,415.0,0
5,1059,1059,2304.0,755.0,122.0,318.5,318.5,122.0,1
6,332,332,5.0,5.0,2390.0,655.0,2390.0,655.0,0
6,474,474,5.0,660.0,2299.0,540.0,2299.0,540.0,0
6,548,548,2304.0,660.0,109.0,469.0,469.0,109.0,1
7,355,355,5.0,5.0,2240.0,684.0,2240.0,684.0,0
7,86,86,5.0,689.0,2340.0,522.0,2340.0,522.0,0
7,394,394,2245.0,5.0,182.0,600.0,600.0,182.0,1
7,282,282,2345.0,605.0,70.0,544.0,544.0,70.0,1
8,792,792,5.0,5.0,2240.0,684.0,2240.0,684.0,0
8,891,891,5.0,689.0,2340.0,522.0,2340.0,522.0,0
8,68,68,2245.0,5.0,180.0,590.0,180.0,590.0,0
8,810,810,2345.0,595.0,70.0,544.0,544.0,70.0,1
9,848,848,5.0,5.0,2240.0,684.0,2240.0,684.0,0
9,628,628,5.0,689.0,2299.0,520.0,2299.0,520.0,0
9,420,420,2304.0,5.0,120.0,1170.0,1170.0,120.0,1
10,979,979,5.0,5.0,2240.0,684.0,2240.0,684.0,0
10,375,375,5.0,689.0,2390.0,495.0,2390.0,495.0,0
10,532,532,2245.0,5.0,180.0,570.0,180.0,570.0,0
11,744,744,5.0,5.0,2333.0,600.0,2333.0,600.0,0
11,265,265,5.0,605.0,2335.0,590.0,2335.0,590.0,0
11,482,482,2338.0,5.0,80.0,383.0,383.0,80.0,1
12,1050,1050,5.0,5.0,2315.0,590.0,2315.0,590.0,0
12,913,913,5.0,595.0,2299.0,590.0,2299.0,590.0,0
12,142,142,2320.0,5.0,109.0,1026.0,1026.0,109.0,1
13,1105,1105,5.0,5.0,2295.0,573.0,2295.0,573.0,0
13,314,314,5.0,578.0,2150.0,590.0,2150.0,590.0,0
13,381,381,2155.0,578.0,262.0,600.0,600.0,262.0,1
13,747,747,2300.0,5.0,131.5,509.0,131.5,509.0,0
14,274,274,5.0,5.0,1852.0,683.0,1852.0,683.0,0
14,706,706,5.0,688.0,2360.0,500.0,2360.0,500.0,0
14,293,293,1857.0,5.0,574.0,667.0,667.0,574.0,1
14,483,483,2365.0,672.0,70.0,436.0,436.0,70.0,1
15,948,948,5.0,5.0,1852.0,683.0,1852.0,683.0,0
15,194,194,5.0,688.0,2335.0,492.0,2335.0,492.0,0
15,294,294,1857.0,5.0,574.0,667.0,667.0,574.0,1
15,484,484,2340.0,672.0,80.0,383.0,383.0,80.0,1
16,447,447,5.0,5.0,2254.0,550.0,2254.0,550.0,0
16,780,780,5.0,555.0,2254.0,550.0,2254.0,550.0,0
16,748,748,5.0,1105.0,1970.0,100.0,1970.0,100.0,0
16,943,943,2259.0,5.0,140.0,1135.0,1135.0,140.0,1
16,877,877,1975.0,1140.0,421.0,70.0,421.0,70.0,0
17,959,959,5.0,5.0,2254.0,550.0,2254.0,550.0,0
17,1111,1111,5.0,555.0,2254.0,550.0,2254.0,550.0,0
17,875,875,5.0,1105.0,1970.0,100.0,1970.0,100.0,0
17,1004,1004,2259.0,5.0,120.0,1170.0,1170.0,120.0,1
17,1065,1065,1975.0,1105.0,265.0,70.0,265.0,70.0,0
18,82,82,5.0,5.0,2254.0,544.0,2254.0,544.0,0
18,147,147,5.0,549.0,2254.0,544.0,2254.0,544.0,0
18,944,944,5.0,1093.0,2400.0,120.0,2400.0,120.0,0
18,580,580,2259.0,5.0,160.0,874.0,874.0,160.0,1
19,219,219,5.0,5.0,2250.0,534.0,2250.0,534.0,0
19,269,269,5.0,539.0,2250.0,534.0,2250.0,534.0,0
19,1000,1000,5.0,1073.0,2400.0,120.0,2400.0,120.0,0
19,451,451,2255.0,5.0,180.0,908.0,180.0,908.0,0
20,429,429,5.0,5.0,2250.0,534.0,2250.0,534.0,0
20,378,378,5.0,539.0,2100.0,560.0,2100.0,560.0,0
20,812,812,5.0,1099.0,2399.0,80.0,2399.0,80.0,0
20,57,57,2105.0,539.0,330.0,530.0,530.0,330.0,1
20,773,773,2255.0,5.0,160.0,480.0,480.0,160.0,1
21,588,588,5.0,5.0,1207.0,983.5,1207.0,983.5,0
21,469,469,1212.0,5.0,1187.0,973.5,1187.0,973.5,0
21,850,850,1212.0,978.5,801.0,188.0,801.0,188.0,0
21,940,940,5.0,988.5,322.0,144.0,144.0,322.0,1
21,946,946,327.0,988.5,718.0,110.0,718.0,110.0,0
21,536,536,2013.0,978.5,293.0,206.5,206.5,293.0,1
21,210,210,5.0,1132.5,1012.0,60.0,1012.0,60.0,0
22,841,841,5.0,5.0,1360.0,869.0,1360.0,869.0,0
22,561,561,5.0,874.0,1260.0,334.0,1260.0,334.0,0
22,724,724,1365.0,5.0,973.5,1187.0,1187.0,973.5,1
22,1010,1010,2338.5,5.0,75.0,383.0,383.0,75.0,1
22,996,996,2338.5,388.0,60.0,451.0,451.0,60.0,1
23,123,123,5.0,5.0,1523.5,765.5,1523.5,765.5,0
23,631,631,5.0,770.5,2205.0,419.0,2205.0,419.0,0
23,360,360,1528.5,5.0,782.0,755.0,755.0,782.0,1
23,1061,1061,2310.5,5.0,120.0,1020.0,1020.0,120.0,1
23,1005,1005,2210.0,760.0,80.0,383.0,383.0,80.0,1
24,300,300,5.0,5.0,1523.5,765.5,1523.5,765.5,0
24,144,144,5.0,770.5,2187.0,419.0,2187.0,419.0,0
24,834,834,1528.5,5.0,760.0,725.0,725.0,760.0,1
24,939,939,2288.5,5.0,109.0,1026.0,1026.0,109.0,1
24,1066,1066,2192.0,730.0,80.0,383.0,383.0,80.0,1
25,272,272,5.0,5.0,2100.0,554.0,2100.0,554.0,0
25,311,311,5.0,559.0,2100.0,554.0,2100.0,554.0,0
25,350,350,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
25,813,813,5.0,1113.0,1805.0,100.0,1805.0,100.0,0
25,997,997,1810.0,1113.0,264.0,60.0,264.0,60.0,0
26,328,328,5.0,5.0,2100.0,554.0,2100.0,554.0,0
26,683,683,5.0,559.0,2100.0,554.0,2100.0,554.0,0
26,478,478,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
26,617,617,5.0,1113.0,1770.0,100.0,1770.0,100.0,0
27,1030,1030,5.0,5.0,2100.0,554.0,2100.0,554.0,0
27,1031,1031,5.0,559.0,2100.0,554.0,2100.0,554.0,0
27,192,192,2105.0,5.0,298.5,1133.5,298.5,1133.5,0
27,1067,1067,5.0,1113.0,1770.0,100.0,1770.0,100.0,0
27,874,874,1775.0,1138.5,621.0,70.0,621.0,70.0,0
28,817,817,5.0,5.0,2000.0,580.0,2000.0,580.0,0
28,912,912,5.0,585.0,2000.0,580.0,2000.0,580.0,0
28,226,226,2005.0,5.0,383.0,1080.0,1080.0,383.0,1
28,750,750,2005.0,1085.0,383.0,75.0,383.0,75.0,0
29,709,709,5.0,5.0,1215.0,947.5,1215.0,947.5,0
29,718,718,5.0,952.5,1324.0,261.0,1324.0,261.0,0
29,1021,1021,1220.0,5.0,1215.0,947.5,1215.0,947.5,0
29,1058,1058,1329.0,952.5,856.0,124.0,856.0,124.0,0
29,1002,1002,1329.0,1076.5,855.5,123.5,123.5,855.5,1
30,183,183,5.0,5.0,1073.0,1062.5,1073.0,1062.5,0
30,572,572,1078.0,5.0,1133.0,262.0,1133.0,262.0,0
30,592,592,1078.0,267.0,1080.0,814.0,1080.0,814.0,0
30,711,711,2211.0,5.0,199.0,1069.0,1069.0,199.0,1
30,421,421,5.0,1081.0,2390.0,120.0,2390.0,120.0,0
31,621,621,5.0,5.0,1908.0,603.0,1908.0,603.0,0
31,766,766,5.0,608.0,1908.0,603.0,1908.0,603.0,0
31,622,622,1913.0,5.0,510.0,964.0,964.0,510.0,1
31,1024,1024,1913.0,969.0,520.0,226.0,226.0,520.0,1
32,776,776,5.0,5.0,2335.0,492.0,2335.0,492.0,0
32,401,401,5.0,497.0,1610.5,707.5,1610.5,707.5,0
32,664,664,1615.5,497.0,784.0,660.0,784.0,660.0,0
32,746,746,2340.0,5.0,70.0,403.0,403.0,70.0,1
33,35,35,5.0,5.0,2100.0,534.0,2100.0,534.0,0
33,639,639,5.0,539.0,2100.0,534.0,2100.0,534.0,0
33,599,599,2105.0,5.0,298.5,1133.5,298.5,1133.5,0
33,207,207,5.0,1073.0,1451.0,134.0,1451.0,134.0,0
33,1064,1064,1456.0,1073.0,592.0,119.0,592.0,119.0,0
33,74,74,2048.0,1138.5,384.0,60.0,384.0,60.0,0
34,1096,1096,5.0,5.0,2100.0,534.0,2100.0,534.0,0
34,725,725,5.0,539.0,2018.5,552.0,2018.5,552.0,0
34,1107,1107,2105.0,5.0,300.0,1113.0,1113.0,300.0,1
34,942,942,5.0,1118.0,2160.0,80.0,2160.0,80.0,0
35,958,958,5.0,5.0,2299.0,480.0,2299.0,480.0,0
35,659,659,5.0,485.0,1887.0,550.0,1887.0,550.0,0
35,1011,1011,5.0,1035.0,2187.0,172.0,2187.0,172.0,0
35,660,660,1892.0,485.0,531.0,540.0,540.0,531.0,1
35,616,616,2304.0,5.0,109.0,469.0,469.0,109.0,1
36,715,715,5.0,5.0,1887.0,550.0,1887.0,550.0,0
36,779,779,5.0,555.0,1887.0,550.0,1887.0,550.0,0
36,250,250,1892.0,5.0,523.0,1194.0,1194.0,523.0,1
36,615,615,5.0,1105.0,1561.0,110.0,1561.0,110.0,0
37,96,96,5.0,5.0,1417.0,725.0,1417.0,725.0,0
37,822,822,5.0,730.0,1380.0,480.0,1380.0,480.0,0
37,701,701,1422.0,5.0,759.0,1134.0,1134.0,759.0,1
37,423,423,2181.0,5.0,154.0,869.0,154.0,869.0,0
37,145,145,2181.0,874.0,160.0,330.0,160.0,330.0,0
37,1001,1001,2341.0,5.0,70.0,1012.0,1012.0,70.0,1
37,1060,1060,1385.0,1139.0,775.7,70.0,775.7,70.0,0
38,89,89,5.0,5.0,1887.0,544.0,1887.0,544.0,0
38,186,186,5.0,549.0,1887.0,544.0,1887.0,544.0,0
38,1102,1102,1892.0,5.0,523.0,1194.0,1194.0,523.0,1
38,487,487,5.0,1093.0,1874.0,70.0,1874.0,70.0,0
39,336,336,5.0,5.0,1887.0,544.0,1887.0,544.0,0
39,655,655,5.0,549.0,1887.0,544.0,1887.0,544.0,0
39,27,27,1892.0,5.0,543.0,1012.0,1012.0,543.0,1
39,76,76,5.0,1093.0,2390.0,120.0,2390.0,120.0,0
39,1071,1071,1892.0,1017.0,451.0,60.0,451.0,60.0,0
40,849,849,5.0,5.0,1887.0,544.0,1887.0,544.0,0
40,892,892,5.0,549.0,1715.0,590.0,1715.0,590.0,0
40,656,656,1892.0,5.0,543.0,1012.0,1012.0,543.0,1
40,73,73,5.0,1139.0,2293.0,70.0,2293.0,70.0,0
40,570,570,1720.0,549.0,160.0,584.0,584.0,160.0,1
40,551,551,1880.0,1017.0,429.0,60.0,429.0,60.0,0
41,595,595,5.0,5.0,1535.5,582.0,1535.5,582.0,0
41,521,521,5.0,587.0,1523.5,578.5,1523.5,578.5,0
41,597,597,1540.5,5.0,759.0,1134.0,1134.0,759.0,1
