"plan_name","plan_root","lane","pid","stdout","stderr"
"paper_overnight_formal_v2_20260318","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318","A","3356","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\lane_A.stdout.log","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\lane_A.stderr.log"
"paper_overnight_formal_v2_20260318","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318","B","30988","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\lane_B.stdout.log","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\lane_B.stderr.log"
