round,case_id,N_board_baseline,N_board_ref,N_board_beam,U_global_beam,beam_candidates_generated,prefix_candidates_generated,beam_active_states_max,beam_force_rounds,macro_pattern_actions,macro_rollout_pattern_steps,macro_rollout_single_fallback_steps,oracle_completion_calls,oracle_completion_cache_hits,prefix_depth_reached,result_source,post_repair_boards_saved,elapsed_s,out_case_dir
1,data3,175,177,174,0.9046992779602875,15.0,15.0,2.0,0.0,488.0,0.0,0.0,139.0,58.0,3.0,global_best,0.0,552.556994,D:\桌面\CXP\20260311 (2)\20260311\outputs\autonomous_prefix_beam_formal_20260318\round_01\round_01__data3
1,data6,151,153,151,0.927423276761926,15.0,15.0,2.0,0.0,472.0,0.0,0.0,144.0,63.0,3.0,prefix_oracle_complete,0.0,518.253048,D:\桌面\CXP\20260311 (2)\20260311\outputs\autonomous_prefix_beam_formal_20260318\round_01\round_01__data6
1,I1_parts,71,70,69,0.9119458919508937,15.0,15.0,2.0,0.0,500.0,0.0,0.0,146.0,65.0,3.0,global_best,0.0,420.842066,D:\桌面\CXP\20260311 (2)\20260311\outputs\autonomous_prefix_beam_formal_20260318\round_01\round_01__I1_parts
