variant,U_avg_excl_last2_pct_mean,U_avg_excl_last2_pct_std,U_avg_excl_last_pct_mean,U_avg_excl_last_pct_std,U_avg_pct_mean,U_avg_pct_std,U_best_board_pct_mean,U_best_board_pct_std,U_global_pct_mean,U_global_pct_std,U_last_pct_mean,U_last_pct_std,U_worst_board_pct_mean,U_worst_board_pct_std,U_worst_excl_last_pct_mean,U_worst_excl_last_pct_std,n
baseline_greedy,92.0,0.0,92.0,0.0,79.125,0.0,92.0,0.0,79.125,0.0,66.25,0.0,66.25,0.0,92.0,0.0,1
rh_mcts_ref,96.5,0.0,96.5,0.0,79.125,0.0,96.5,0.0,79.125,0.0,61.75000000000001,0.0,61.75000000000001,0.0,96.5,0.0,1
rh_mcts_prefix_beam,96.5,0.0,96.5,0.0,79.125,0.0,96.5,0.0,79.125,0.0,61.75000000000001,0.0,61.75000000000001,0.0,96.5,0.0,1
