case,seed,LB_area,N_board_baseline,N_board_baseline_gap_to_LB,N_board_delta,N_board_main,N_board_main_gap_to_LB,N_board_main_vs_baseline,N_board_ref,N_board_ref_gap_to_LB,U_avg_excl_last_delta,U_avg_excl_last_main,U_avg_excl_last_ref,U_global_baseline,U_global_delta,U_global_main,U_global_main_vs_baseline,U_global_ref,runtime_s_baseline,runtime_s_delta,runtime_s_main,runtime_s_ref,variant_baseline,variant_main,variant_ref,suite,case_id,family,source,csv_path,n_items,suite_runtime_s
main_industrial_xlsx6_3seed_3600s__data3,1000,160,175,15.0,-3.0,174,14.0,-1.0,177,17.0,0.016935007863910223,0.9097038349944775,0.8927688271305673,0.8995295678005144,0.015333886067123714,0.9046992779602875,0.005169710159773078,0.8893653918931638,2.0630366,-3448.9878088999994,622.0001494000007,4070.9879583,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data3,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data3.csv,1234,13735.401164
main_industrial_xlsx6_3seed_3600s__data3,1001,160,175,15.0,-2.0,174,14.0,-1.0,176,16.0,0.011082125104662888,0.9097038349944775,0.8986217098898146,0.8995295678005144,0.010280673613185187,0.9046992779602875,0.005169710159773078,0.8944186043471023,1.7541162,-4014.5991612999987,329.86192440000013,4344.461085699999,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data3,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data3.csv,1234,13735.401164
main_industrial_xlsx6_3seed_3600s__data3,1002,160,175,15.0,-2.0,174,14.0,-1.0,176,16.0,0.012288526033752634,0.9097038349944775,0.8974153089607249,0.8995295678005144,0.010280673613185298,0.9046992779602875,0.005169710159773078,0.8944186043471022,2.4541822,-3751.053463,304.35944290000043,4055.4129059000006,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data3,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data3.csv,1234,13735.401164
main_industrial_xlsx6_3seed_3600s__data6,1000,142,151,9.0,-3.0,150,8.0,-1.0,153,11.0,0.020405455454033494,0.9360932196683435,0.91568776421431,0.927423276761926,0.018306001933470872,0.9336060986070054,0.006182821845079345,0.9153000966735345,1.5505538,-3798.2717105,275.0689120999996,4073.3406225999997,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data6,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data6.csv,1114,13758.616539
main_industrial_xlsx6_3seed_3600s__data6,1001,142,151,9.0,-3.0,151,9.0,0.0,154,12.0,0.01695560909157179,0.9319483945847891,0.9149927854932173,0.927423276761926,0.018066687209648102,0.927423276761926,0.0,0.9093565895522779,1.0214946,-4339.066396600001,245.71252139999888,4584.778918,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data6,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data6.csv,1114,13758.616539
main_industrial_xlsx6_3seed_3600s__data6,1002,142,151,9.0,-3.0,151,9.0,0.0,154,12.0,0.016168382161921402,0.9311892102257457,0.9150208280638243,0.927423276761926,0.018066687209648213,0.927423276761926,0.0,0.9093565895522778,1.2237626000000001,-4048.834189899999,262.61091280000073,4311.4451027,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data6,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data6.csv,1114,13758.616539
main_industrial_xlsx6_3seed_3600s__data5,1000,185,199,14.0,-3.0,198,13.0,-1.0,201,16.0,0.012909592876109932,0.9219284035116918,0.9090188106355819,0.9157784152217688,0.01373736654825386,0.92040355873299,0.004625143511221119,0.9066661921847361,3.6830945999990945,-3698.6892052999974,919.6436611000026,4618.3328664,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data5,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data5.csv,1649,15360.922047
main_industrial_xlsx6_3seed_3600s__data5,1001,185,199,14.0,-3.0,198,13.0,-1.0,201,16.0,0.011560803908090667,0.9219284035116918,0.9103675996036011,0.9157784152217688,0.01373736654825386,0.92040355873299,0.004625143511221119,0.9066661921847361,3.7940595999989455,-3745.6340359000023,570.2076683999985,4315.841704300001,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data5,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data5.csv,1649,15360.922047
main_industrial_xlsx6_3seed_3600s__data5,1002,185,199,14.0,-3.0,198,13.0,-1.0,201,16.0,0.011560803908090667,0.9219284035116918,0.9103675996036011,0.9157784152217688,0.01373736654825386,0.92040355873299,0.004625143511221119,0.9066661921847361,3.998215400000845,-3889.5661166000027,516.4409764999982,4406.007093100001,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data5,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data5.csv,1649,15360.922047
main_industrial_xlsx6_3seed_3600s__data4,1000,231,239,8.0,-3.0,239,8.0,0.0,242,11.0,0.01092528752215527,0.9534974257507357,0.9425721382285804,0.9523005898333442,0.01180537921281044,0.9523005898333446,4.440892098500626e-16,0.9404952106205342,3.9203610999993543,-4210.6639658,875.4976591000013,5086.161624900002,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,main_industrial_xlsx6_3seed_3600s,data4,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data4.csv,2109,16551.277519
