case,seed,LB_area,N_board_baseline,N_board_baseline_gap_to_LB,N_board_delta,N_board_main,N_board_main_gap_to_LB,N_board_main_vs_baseline,N_board_ref,N_board_ref_gap_to_LB,U_avg_excl_last_delta,U_avg_excl_last_main,U_avg_excl_last_ref,U_global_baseline,U_global_delta,U_global_main,U_global_main_vs_baseline,U_global_ref,runtime_s_baseline,runtime_s_delta,runtime_s_main,runtime_s_ref,variant_baseline,variant_main,variant_ref,suite,case_id,family,source,csv_path,n_items,suite_runtime_s
industrial_xlsx6_casejobs3_20260315__data6,1000,142,151,9.0,1.0,151,9.0,0.0,150,8.0,-0.004098248680925121,0.9323402090611843,0.9364384577421094,0.927423276761926,-0.006182821845079345,0.927423276761926,0.0,0.9336060986070054,0.6999837999999999,-52.57603539999997,184.19566350000002,236.7716989,baseline_greedy,rh_mcts_main,rh_mcts_ref,industrial_xlsx6_casejobs3_20260315,data6,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data6.csv,1114,237.391416
industrial_xlsx6_casejobs3_20260315__data3,1000,160,175,15.0,0.0,174,14.0,-1.0,174,14.0,-0.0009848813483229746,0.9082442799460335,0.9092291612943565,0.8995295678005144,0.0,0.9046992779602874,0.005169710159772967,0.9046992779602874,1.1480902,32.83486769999999,261.4771113,228.6422436,baseline_greedy,rh_mcts_main,rh_mcts_ref,industrial_xlsx6_casejobs3_20260315,data3,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data3.csv,1234,263.213265
industrial_xlsx6_casejobs3_20260315__data5,1000,185,199,14.0,0.0,198,13.0,-1.0,198,13.0,-0.001706015521726778,0.9225048106371165,0.9242108261588433,0.9157784152217688,0.0,0.9204035587329897,0.004625143511220897,0.9204035587329897,1.679892,-73.07005140000001,277.8600164,350.9300678,baseline_greedy,rh_mcts_main,rh_mcts_ref,industrial_xlsx6_casejobs3_20260315,data5,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data5.csv,1649,351.538431
industrial_xlsx6_casejobs3_20260315__data4,1000,231,239,8.0,0.0,239,8.0,0.0,239,8.0,0.00011382139526061597,0.9539748827910632,0.9538610613958026,0.9523005898333442,0.0,0.9523005898333442,0.0,0.9523005898333442,1.6781640999999998,11.503475999999978,341.6318657,330.1283897,baseline_greedy,rh_mcts_main,rh_mcts_ref,industrial_xlsx6_casejobs3_20260315,data4,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data4.csv,2109,343.845178
industrial_xlsx6_casejobs3_20260315__data2,1000,353,392,39.0,1.0,391,38.0,-1.0,390,37.0,-0.000546993961351605,0.8917950288211743,0.892342022782526,0.8873994779869079,-0.0022812026714594813,0.8896690418692276,0.0022695638823196917,0.891950244540687,5.8162908,-294.9692477,375.5698801,670.5391278,baseline_greedy,rh_mcts_main,rh_mcts_ref,industrial_xlsx6_casejobs3_20260315,data2,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data2.csv,2429,671.055554
industrial_xlsx6_casejobs3_20260315__data1,1000,319,343,24.0,-1.0,342,23.0,-1.0,343,24.0,0.0024451870741412085,0.9216124179480653,0.919167230873924,0.9172482096727811,0.0026820123089847936,0.919930221981766,0.0026820123089849046,0.9172482096727812,4.4565903,-119.44658460000005,485.93572689999996,605.3823115,baseline_greedy,rh_mcts_main,rh_mcts_ref,industrial_xlsx6_casejobs3_20260315,data1,industrial_xlsx6,industrial_xlsx6,D:\桌面\CXP\20260311 (2)\20260311\data\industrial_xlsx6\data1.csv,2819,605.922017
