case,seed,LB_area,N_board_baseline,N_board_baseline_gap_to_LB,N_board_delta,N_board_main,N_board_main_gap_to_LB,N_board_main_vs_baseline,N_board_ref,N_board_ref_gap_to_LB,U_avg_excl_last_delta,U_avg_excl_last_main,U_avg_excl_last_ref,U_global_baseline,U_global_delta,U_global_main,U_global_main_vs_baseline,U_global_ref,runtime_s_baseline,runtime_s_delta,runtime_s_main,runtime_s_ref,variant_baseline,variant_main,variant_ref
main_industrial_xlsx6_3seed_3600s__data5,1000,185,199,14.0,-3.0,198,13.0,-1.0,201,16.0,0.012909592876109932,0.9219284035116918,0.9090188106355819,0.9157784152217688,0.01373736654825386,0.92040355873299,0.004625143511221119,0.9066661921847361,3.6830945999990945,-3698.6892052999974,919.6436611000026,4618.3328664,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref
main_industrial_xlsx6_3seed_3600s__data5,1001,185,199,14.0,-3.0,198,13.0,-1.0,201,16.0,0.011560803908090667,0.9219284035116918,0.9103675996036011,0.9157784152217688,0.01373736654825386,0.92040355873299,0.004625143511221119,0.9066661921847361,3.7940595999989455,-3745.6340359000023,570.2076683999985,4315.841704300001,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref
main_industrial_xlsx6_3seed_3600s__data5,1002,185,199,14.0,-3.0,198,13.0,-1.0,201,16.0,0.011560803908090667,0.9219284035116918,0.9103675996036011,0.9157784152217688,0.01373736654825386,0.92040355873299,0.004625143511221119,0.9066661921847361,3.998215400000845,-3889.5661166000027,516.4409764999982,4406.007093100001,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref
