"plan_name","plan_root","lane","pid","stdout","stderr"
"paper_overnight_20260318","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_20260318","A","14484","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_20260318\lane_A.stdout.log","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_20260318\lane_A.stderr.log"
"paper_overnight_20260318","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_20260318","B","15304","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_20260318\lane_B.stdout.log","D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_20260318\lane_B.stderr.log"
